h/dp :,1.5
L2norm Pressure,KE,dp,Nparticles
277560,7.53743e+06,0.5,480

t,10
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1006.61,0,52894.7,,0,0,,0,0,boundary
1,0.75,-0.25,,1006.46,0,51726.9,,0,0,,0,0,boundary
2,1.25,-0.25,,1005.46,0,43586.1,,0,0,,0,0,boundary
3,1.75,-0.25,,1006.73,0,53894.2,,0,0,,0,0,boundary
4,2.25,-0.25,,1007.27,0,58334.3,,0,0,,0,0,boundary
5,2.75,-0.25,,1005.46,0,43583.4,,0,0,,0,0,boundary
6,3.25,-0.25,,1003.64,0,28885.5,,0,0,,0,0,boundary
7,3.75,-0.25,,1002.86,0,22628.5,,0,0,,0,0,boundary
8,4.25,-0.25,,1002.74,0,21702.1,,0,0,,0,0,boundary
9,4.75,-0.25,,1002.61,0,20612.2,,0,0,,0,0,boundary
10,5.25,-0.25,,1002.51,0,19878.6,,0,0,,0,0,boundary
11,5.75,-0.25,,1002.48,0,19638.4,,0,0,,0,0,boundary
12,6.25,-0.25,,1002.43,0,19228.1,,0,0,,0,0,boundary
13,6.75,-0.25,,1002.35,0,18594.8,,0,0,,0,0,boundary
14,7.25,-0.25,,1002.32,0,18364.9,,0,0,,0,0,boundary
15,7.75,-0.25,,1002.34,0,18462.4,,0,0,,0,0,boundary
16,8.25,-0.25,,1002.33,0,18414.5,,0,0,,0,0,boundary
17,8.75,-0.25,,1002.35,0,18593.2,,0,0,,0,0,boundary
18,9.25,-0.25,,1002.47,0,19552.7,,0,0,,0,0,boundary
19,9.75,-0.25,,1002.66,0,21015.7,,0,0,,0,0,boundary
20,10.25,-0.25,,1002.89,0,22841.3,,0,0,,0,0,boundary
21,10.75,-0.25,,1003.14,0,24872,,0,0,,0,0,boundary
22,11.25,-0.25,,1003.33,0,26366.5,,0,0,,0,0,boundary
23,11.75,-0.25,,1003.32,0,26321.6,,0,0,,0,0,boundary
24,12.25,-0.25,,1003.15,0,24989.2,,0,0,,0,0,boundary
25,12.75,-0.25,,1002.97,0,23478,,0,0,,0,0,boundary
26,13.25,-0.25,,1002.96,0,23410,,0,0,,0,0,boundary
27,13.75,-0.25,,1002.95,0,23374,,0,0,,0,0,boundary
28,14.25,-0.25,,1002.84,0,22512.8,,0,0,,0,0,boundary
29,14.75,-0.25,,1002.79,0,22097.6,,0,0,,0,0,boundary
30,15.25,-0.25,,1002.86,0,22673.5,,0,0,,0,0,boundary
31,15.75,-0.25,,1002.92,0,23127.2,,0,0,,0,0,boundary
32,16.25,-0.25,,1002.95,0,23351.1,,0,0,,0,0,boundary
33,16.75,-0.25,,1003.02,0,23892.4,,0,0,,0,0,boundary
34,17.25,-0.25,,1003.11,0,24665,,0,0,,0,0,boundary
35,17.75,-0.25,,1003.21,0,25460.5,,0,0,,0,0,boundary
