h/dp :,1.5
L2norm Pressure,KE,dp,Nparticles
38170.5,1.0681e+07,0.5,480

t,6.21
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1003.08,0,24413.4,,0,0,,0,0,boundary
1,0.75,-0.25,,1002.69,0,21257.3,,0,0,,0,0,boundary
2,1.25,-0.25,,1002.35,0,18575.4,,0,0,,0,0,boundary
3,1.75,-0.25,,1002.74,0,21677.5,,0,0,,0,0,boundary
4,2.25,-0.25,,1003.36,0,26654.7,,0,0,,0,0,boundary
5,2.75,-0.25,,1003.71,0,29415.6,,0,0,,0,0,boundary
6,3.25,-0.25,,1004.19,0,33324.3,,0,0,,0,0,boundary
7,3.75,-0.25,,1004.49,0,35736.8,,0,0,,0,0,boundary
8,4.25,-0.25,,1004.13,0,32837.1,,0,0,,0,0,boundary
9,4.75,-0.25,,1003.61,0,28638.7,,0,0,,0,0,boundary
10,5.25,-0.25,,1004.24,0,33726,,0,0,,0,0,boundary
11,5.75,-0.25,,1004.69,0,37315,,0,0,,0,0,boundary
12,6.25,-0.25,,1004.69,0,37336.1,,0,0,,0,0,boundary
13,6.75,-0.25,,1004.59,0,36535,,0,0,,0,0,boundary
14,7.25,-0.25,,1004.3,0,34152.1,,0,0,,0,0,boundary
15,7.75,-0.25,,1004.07,0,32335.2,,0,0,,0,0,boundary
16,8.25,-0.25,,1004.05,0,32141.3,,0,0,,0,0,boundary
17,8.75,-0.25,,1004.18,0,33244.1,,0,0,,0,0,boundary
18,9.25,-0.25,,1004.07,0,32371.8,,0,0,,0,0,boundary
19,9.75,-0.25,,1004.06,0,32224.4,,0,0,,0,0,boundary
20,10.25,-0.25,,1003.89,0,30883.5,,0,0,,0,0,boundary
21,10.75,-0.25,,1003.56,0,28260.2,,0,0,,0,0,boundary
22,11.25,-0.25,,1003.35,0,26578.7,,0,0,,0,0,boundary
23,11.75,-0.25,,1003.42,0,27077.7,,0,0,,0,0,boundary
24,12.25,-0.25,,1003.54,0,28105.6,,0,0,,0,0,boundary
25,12.75,-0.25,,1003.54,0,28056.5,,0,0,,0,0,boundary
26,13.25,-0.25,,1003.39,0,26875.7,,0,0,,0,0,boundary
27,13.75,-0.25,,1003.3,0,26188.3,,0,0,,0,0,boundary
28,14.25,-0.25,,1003.49,0,27670.2,,0,0,,0,0,boundary
29,14.75,-0.25,,1003.29,0,26075,,0,0,,0,0,boundary
30,15.25,-0.25,,1002.79,0,22052,,0,0,,0,0,boundary
31,15.75,-0.25,,1002.51,0,19839.6,,0,0,,0,0,boundary
32,16.25,-0.25,,1002.4,0,19001.5,,0,0,,0,0,boundary
33,16.75,-0.25,,1002.32,0,18333.7,,0,0,,0,0,boundary
34,17.25,-0.25,,1002.59,0,20464.3,,0,0,,0,0,boundary
35,17.75,-0.25,,1003.09,0,24447.3,,0,0,,0,0,boundary
36,18.25,-0.25,,1003.27,0,25950.9,,0,0,,0,0,boundary
37,18.75,-0.25,,1003.16,0,25032.8,,0,0,,0,0,boundary
38,19.25,-0.25,,1003.07,0,24340.3,,0,0,,0,0,boundary
39,19.75,-0.25,,1002.9,0,22950.5,,0,0,,0,0,boundary
40,20.25,-0.25,,1002.77,0,21949.1,,0,0,,0,0,boundary
41,20.75,-0.25,,1002.74,0,21715.2,,0,0,,0,0,boundary
42,21.25,-0.25,,1002.63,0,20779.7,,0,0,,0,0,boundary
43,21.75,-0.25,,1002.45,0,19357.5,,0,0,,0,0,boundary
44,22.25,-0.25,,1002.56,0,20247,,0,0,,0,0,boundary
45,22.75,-0.25,,1002.51,0,19850.6,,0,0,,0,0,boundary
46,23.25,-0.25,,1002.49,0,19696.6,,0,0,,0,0,boundary
47,23.75,-0.25,,1002.63,0,20796.2,,0,0,,0,0,boundary
48,24.25,-0.25,,1002.68,0,21215.6,,0,0,,0,0,boundary
49,24.75,-0.25,,1002.62,0,20748.7,,0,0,,0,0,boundary
50,25.25,-0.25,,1002.61,0,20660.5,,0,0,,0,0,boundary
51,25.75,-0.25,,1002.78,0,22034.3,,0,0,,0,0,boundary
52,26.25,-0.25,,1002.75,0,21752.5,,0,0,,0,0,boundary
53,0.25,-0.75,,1003.64,0,28888,,0,0,,0,0,boundary
54,0.75,-0.75,,1003.03,0,23963,,0,0,,0,0,boundary
55,1.25,-0.75,,1002.4,0,18969.3,,0,0,,0,0,boundary
56,1.75,-0.75,,1002.9,0,22954.3,,0,0,,0,0,boundary
57,2.25,-0.75,,1002.73,0,21617.4,,0,0,,0,0,boundary
58,2.75,-0.75,,1002.63,0,20837.1,,0,0,,0,0,boundary
59,3.25,-0.75,,1003.58,0,28414.3,,0,0,,0,0,boundary
60,3.75,-0.75,,1004.22,0,33523.7,,0,0,,0,0,boundary
61,4.25,-0.75,,1004.1,0,32577.2,,0,0,,0,0,boundary
62,4.75,-0.75,,1003.62,0,28705.6,,0,0,,0,0,boundary
63,5.25,-0.75,,1004.46,0,35475.2,,0,0,,0,0,boundary
64,5.75,-0.75,,1004.4,0,34967.1,,0,0,,0,0,boundary
65,6.25,-0.75,,1003.48,0,27568.1,,0,0,,0,0,boundary
66,6.75,-0.75,,1003.37,0,26707.2,,0,0,,0,0,boundary
67,7.25,-0.75,,1004.32,0,34341.6,,0,0,,0,0,boundary
68,7.75,-0.75,,1004.59,0,36488.6,,0,0,,0,0,boundary
69,8.25,-0.75,,1003.84,0,30519,,0,0,,0,0,boundary
70,8.75,-0.75,,1002.92,0,23082.3,,0,0,,0,0,boundary
71,9.25,-0.75,,1002.19,0,17293.9,,0,0,,0,0,boundary
72,9.75,-0.75,,1001.84,0,14532.9,,0,0,,0,0,boundary
73,10.25,-0.75,,1002.75,0,21788.5,,0,0,,0,0,boundary
74,10.75,-0.75,,1003.69,0,29284.1,,0,0,,0,0,boundary
75,11.25,-0.75,,1003.78,0,30007.4,,0,0,,0,0,boundary
76,11.75,-0.75,,1003.7,0,29387.4,,0,0,,0,0,boundary
77,12.25,-0.75,,1003.9,0,30946,,0,0,,0,0,boundary
78,12.75,-0.75,,1004.21,0,33448.5,,0,0,,0,0,boundary
79,13.25,-0.75,,1004.3,0,34181.4,,0,0,,0,0,boundary
80,13.75,-0.75,,1004.38,0,34823.5,,0,0,,0,0,boundary
81,14.25,-0.75,,1003.96,0,31470.5,,0,0,,0,0,boundary
82,14.75,-0.75,,1002.47,0,19554.4,,0,0,,0,0,boundary
83,15.25,-0.75,,1001.67,0,13163.3,,0,0,,0,0,boundary
84,15.75,-0.75,,1001.8,0,14238.4,,0,0,,0,0,boundary
85,16.25,-0.75,,1001.52,0,11976,,0,0,,0,0,boundary
86,16.75,-0.75,,1001.45,0,11394,,0,0,,0,0,boundary
87,17.25,-0.75,,1001.96,0,15486.1,,0,0,,0,0,boundary
88,17.75,-0.75,,1002.56,0,20275.6,,0,0,,0,0,boundary
89,18.25,-0.75,,1003.11,0,24622.4,,0,0,,0,0,boundary
90,18.75,-0.75,,1003.36,0,26675.4,,0,0,,0,0,boundary
91,19.25,-0.75,,1003.55,0,28186.1,,0,0,,0,0,boundary
92,19.75,-0.75,,1003.57,0,28311.7,,0,0,,0,0,boundary
93,20.25,-0.75,,1003.37,0,26713.8,,0,0,,0,0,boundary
94,20.75,-0.75,,1003.19,0,25259.9,,0,0,,0,0,boundary
95,21.25,-0.75,,1003.14,0,24840.8,,0,0,,0,0,boundary
96,21.75,-0.75,,1003.13,0,24773,,0,0,,0,0,boundary
97,22.25,-0.75,,1003.15,0,24919.9,,0,0,,0,0,boundary
98,22.75,-0.75,,1003.05,0,24180.3,,0,0,,0,0,boundary
99,23.25,-0.75,,1003.16,0,24996.1,,0,0,,0,0,boundary
100,23.75,-0.75,,1003.37,0,26732.8,,0,0,,0,0,boundary
