h/dp :,1.5
L2norm Pressure,KE,dp,Nparticles
87375.6,2.40108e+06,0.5,480

t,8
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1010.84,0,87906.5,,0,0,,0,0,boundary
1,0.75,-0.25,,1010.44,0,84577.4,,0,0,,0,0,boundary
2,1.25,-0.25,,1009.59,0,77481.4,,0,0,,0,0,boundary
3,1.75,-0.25,,1009.12,0,73583.8,,0,0,,0,0,boundary
4,2.25,-0.25,,1009.12,0,73570.9,,0,0,,0,0,boundary
5,2.75,-0.25,,1009.52,0,76844.9,,0,0,,0,0,boundary
6,3.25,-0.25,,1010.18,0,82342.7,,0,0,,0,0,boundary
7,3.75,-0.25,,1010.64,0,86192.1,,0,0,,0,0,boundary
8,4.25,-0.25,,1010.47,0,84833.5,,0,0,,0,0,boundary
9,4.75,-0.25,,1009.71,0,78477.3,,0,0,,0,0,boundary
10,5.25,-0.25,,1008.95,0,72188.2,,0,0,,0,0,boundary
11,5.75,-0.25,,1008.15,0,65546.5,,0,0,,0,0,boundary
12,6.25,-0.25,,1007.22,0,57923.5,,0,0,,0,0,boundary
13,6.75,-0.25,,1006.27,0,50136,,0,0,,0,0,boundary
14,7.25,-0.25,,1005.81,0,46377.8,,0,0,,0,0,boundary
15,7.75,-0.25,,1005.68,0,45330.2,,0,0,,0,0,boundary
16,8.25,-0.25,,1005.17,0,41193.2,,0,0,,0,0,boundary
17,8.75,-0.25,,1004.44,0,35303.7,,0,0,,0,0,boundary
18,9.25,-0.25,,1004.11,0,32666.5,,0,0,,0,0,boundary
19,9.75,-0.25,,1004.06,0,32257.7,,0,0,,0,0,boundary
20,10.25,-0.25,,1003.96,0,31444.2,,0,0,,0,0,boundary
21,10.75,-0.25,,1003.84,0,30507.8,,0,0,,0,0,boundary
22,11.25,-0.25,,1003.7,0,29346.4,,0,0,,0,0,boundary
23,11.75,-0.25,,1003.49,0,27698.1,,0,0,,0,0,boundary
24,12.25,-0.25,,1003.37,0,26736.9,,0,0,,0,0,boundary
25,12.75,-0.25,,1003.29,0,26072.7,,0,0,,0,0,boundary
26,13.25,-0.25,,1003.15,0,24971.7,,0,0,,0,0,boundary
27,13.75,-0.25,,1002.97,0,23501.5,,0,0,,0,0,boundary
28,14.25,-0.25,,1002.75,0,21755.3,,0,0,,0,0,boundary
29,14.75,-0.25,,1002.56,0,20280.9,,0,0,,0,0,boundary
30,15.25,-0.25,,1002.47,0,19528.7,,0,0,,0,0,boundary
31,15.75,-0.25,,1002.41,0,19037.5,,0,0,,0,0,boundary
32,16.25,-0.25,,1002.36,0,18655.9,,0,0,,0,0,boundary
33,16.75,-0.25,,1002.37,0,18770.3,,0,0,,0,0,boundary
34,17.25,-0.25,,1002.45,0,19355.5,,0,0,,0,0,boundary
35,17.75,-0.25,,1002.57,0,20321.6,,0,0,,0,0,boundary
36,18.25,-0.25,,1002.66,0,21030.5,,0,0,,0,0,boundary
37,18.75,-0.25,,1002.72,0,21538.1,,0,0,,0,0,boundary
38,19.25,-0.25,,1002.77,0,21957.7,,0,0,,0,0,boundary
39,19.75,-0.25,,1002.83,0,22390.2,,0,0,,0,0,boundary
40,20.25,-0.25,,1002.88,0,22785.4,,0,0,,0,0,boundary
41,20.75,-0.25,,1002.91,0,23027.8,,0,0,,0,0,boundary
42,21.25,-0.25,,1002.94,0,23244.2,,0,0,,0,0,boundary
43,21.75,-0.25,,1002.94,0,23317.1,,0,0,,0,0,boundary
44,22.25,-0.25,,1002.95,0,23380.9,,0,0,,0,0,boundary
45,22.75,-0.25,,1002.99,0,23682.2,,0,0,,0,0,boundary
46,23.25,-0.25,,1003.07,0,24277.9,,0,0,,0,0,boundary
47,23.75,-0.25,,1003.16,0,25024.4,,0,0,,0,0,boundary
48,24.25,-0.25,,1003.24,0,25685.7,,0,0,,0,0,boundary
49,24.75,-0.25,,1003.28,0,25995.1,,0,0,,0,0,boundary
50,25.25,-0.25,,1003.28,0,25965.7,,0,0,,0,0,boundary
51,25.75,-0.25,,1003.33,0,26364.3,,0,0,,0,0,boundary
52,26.25,-0.25,,1003.42,0,27146.6,,0,0,,0,0,boundary
53,0.25,-0.75,,1010.54,0,85350.1,,0,0,,0,0,boundary
54,0.75,-0.75,,1011.18,0,90765.1,,0,0,,0,0,boundary
55,1.25,-0.75,,1010.52,0,85188,,0,0,,0,0,boundary
56,1.75,-0.75,,1009.81,0,79306,,0,0,,0,0,boundary
57,2.25,-0.75,,1009.8,0,79228.2,,0,0,,0,0,boundary
58,2.75,-0.75,,1010.48,0,84903.7,,0,0,,0,0,boundary
59,3.25,-0.75,,1011.43,0,92872.7,,0,0,,0,0,boundary
60,3.75,-0.75,,1011.8,0,95929.4,,0,0,,0,0,boundary
61,4.25,-0.75,,1011.21,0,90984.5,,0,0,,0,0,boundary
62,4.75,-0.75,,1010.11,0,81772.2,,0,0,,0,0,boundary
63,5.25,-0.75,,1008.89,0,71670.7,,0,0,,0,0,boundary
64,5.75,-0.75,,1007.44,0,59734.6,,0,0,,0,0,boundary
65,6.25,-0.75,,1005.89,0,47035.8,,0,0,,0,0,boundary
66,6.75,-0.75,,1005.25,0,41843,,0,0,,0,0,boundary
67,7.25,-0.75,,1005.19,0,41345.1,,0,0,,0,0,boundary
68,7.75,-0.75,,1005.37,0,42838.8,,0,0,,0,0,boundary
69,8.25,-0.75,,1005.24,0,41745.4,,0,0,,0,0,boundary
70,8.75,-0.75,,1004.77,0,37941.9,,0,0,,0,0,boundary
71,9.25,-0.75,,1004.5,0,35825.3,,0,0,,0,0,boundary
72,9.75,-0.75,,1004.4,0,34953.9,,0,0,,0,0,boundary
73,10.25,-0.75,,1004.34,0,34509.7,,0,0,,0,0,boundary
74,10.75,-0.75,,1004.32,0,34360.4,,0,0,,0,0,boundary
75,11.25,-0.75,,1004.13,0,32797.7,,0,0,,0,0,boundary
76,11.75,-0.75,,1003.84,0,30507.6,,0,0,,0,0,boundary
77,12.25,-0.75,,1003.54,0,28077.4,,0,0,,0,0,boundary
78,12.75,-0.75,,1003.34,0,26444.8,,0,0,,0,0,boundary
79,13.25,-0.75,,1003.24,0,25668.9,,0,0,,0,0,boundary
80,13.75,-0.75,,1003.05,0,24142.8,,0,0,,0,0,boundary
81,14.25,-0.75,,1002.8,0,22175.9,,0,0,,0,0,boundary
82,14.75,-0.75,,1002.65,0,21001.8,,0,0,,0,0,boundary
83,15.25,-0.75,,1002.71,0,21471.1,,0,0,,0,0,boundary
84,15.75,-0.75,,1002.77,0,21891.7,,0,0,,0,0,boundary
85,16.25,-0.75,,1002.74,0,21676,,0,0,,0,0,boundary
86,16.75,-0.75,,1002.78,0,22032.1,,0,0,,0,0,boundary
87,17.25,-0.75,,1002.95,0,23325.4,,0,0,,0,0,boundary
88,17.75,-0.75,,1003.11,0,24628.3,,0,0,,0,0,boundary
89,18.25,-0.75,,1003.23,0,25635.3,,0,0,,0,0,boundary
90,18.75,-0.75,,1003.33,0,26372.1,,0,0,,0,0,boundary
91,19.25,-0.75,,1003.39,0,26897,,0,0,,0,0,boundary
92,19.75,-0.75,,1003.48,0,27585.9,,0,0,,0,0,boundary
93,20.25,-0.75,,1003.55,0,28162.9,,0,0,,0,0,boundary
94,20.75,-0.75,,1003.6,0,28533,,0,0,,0,0,boundary
95,21.25,-0.75,,1003.64,0,28885.2,,0,0,,0,0,boundary
96,21.75,-0.75,,1003.64,0,28918.9,,0,0,,0,0,boundary
97,22.25,-0.75,,1003.65,0,28925.6,,0,0,,0,0,boundary
98,22.75,-0.75,,1003.67,0,29122.6,,0,0,,0,0,boundary
99,23.25,-0.75,,1003.72,0,29523.4,,0,0,,0,0,boundary
100,23.75,-0.75,,1003.81,0,30253.1,,0,0,,0,0,boundary
101,24.25,-0.75,,1003.92,0,31112,,0,0,,0,0,boundary
102,24.75,-0.75,,1003.95,0,31393.9,,0,0,,0,0,boundary
103,25.25,-0.75,,1003.93,0,31211.5,,0,0,,0,0,boundary
104,25.75,-0.75,,1003.94,0,31281.3,,0,0,,0,0,boundary
105,26.25,-0.75,,1003.97,0,31546.9,,0,0,,0,0,boundary
106,0.25,-1.25,,1002.15,0,16959.1,,0,0,,0,0,boundary
107,0.75,-1.25,,1009.13,0,73648.6,,0,0,,0,0,boundary
108,1.25,-1.25,,1011.73,0,95391.8,,0,0,,0,0,boundary
109,1.75,-1.25,,1011.14,0,90440.7,,0,0,,0,0,boundary
110,2.25,-1.25,,1011.56,0,93893.7,,0,0,,0,0,boundary
111,2.75,-1.25,,1012.72,0,103739,,0,0,,0,0,boundary
112,3.25,-1.25,,1013.06,0,106595,,0,0,,0,0,boundary
113,3.75,-1.25,,1012.24,0,99700.7,,0,0,,0,0,boundary
114,4.25,-1.25,,1010.71,0,86794.1,,0,0,,0,0,boundary
115,4.75,-1.25,,1009.43,0,76120.5,,0,0,,0,0,boundary
116,5.25,-1.25,,1008.21,0,66058.1,,0,0,,0,0,boundary
117,5.75,-1.25,,1005.97,0,47734.9,,0,0,,0,0,boundary
118,6.25,-1.25,,1003.38,0,26782,,0,0,,0,0,boundary
119,6.75,-1.25,,1002.96,0,23430.3,,0,0,,0,0,boundary
120,7.25,-1.25,,1004.01,0,31830,,0,0,,0,0,boundary
121,7.75,-1.25,,1005.11,0,40700.5,,0,0,,0,0,boundary
122,8.25,-1.25,,1005.78,0,46128.1,,0,0,,0,0,boundary
123,8.75,-1.25,,1006.06,0,48449.4,,0,0,,0,0,boundary
124,9.25,-1.25,,1006.4,0,51209.1,,0,0,,0,0,boundary
125,9.75,-1.25,,1006.32,0,50564.6,,0,0,,0,0,boundary
126,10.25,-1.25,,1006.05,0,48325.9,,0,0,,0,0,boundary
127,10.75,-1.25,,1005.89,0,47089.3,,0,0,,0,0,boundary
128,11.25,-1.25,,1005.66,0,45149.8,,0,0,,0,0,boundary
129,11.75,-1.25,,1005.3,0,42236.3,,0,0,,0,0,boundary
130,12.25,-1.25,,1004.89,0,38944,,0,0,,0,0,boundary
131,12.75,-1.25,,1004.55,0,36226.4,,0,0,,0,0,boundary
132,13.25,-1.25,,1004.61,0,36688.1,,0,0,,0,0,boundary
133,13.75,-1.25,,1004.64,0,36897.7,,0,0,,0,0,boundary
134,14.25,-1.25,,1004.65,0,36966.7,,0,0,,0,0,boundary
135,14.75,-1.25,,1004.44,0,35316.4,,0,0,,0,0,boundary
136,15.25,-1.25,,1004.32,0,34333.3,,0,0,,0,0,boundary
137,15.75,-1.25,,1004.55,0,36216.1,,0,0,,0,0,boundary
138,16.25,-1.25,,1004.8,0,38178.5,,0,0,,0,0,boundary
139,16.75,-1.25,,1004.99,0,39770.3,,0,0,,0,0,boundary
140,17.25,-1.25,,1004.97,0,39605.1,,0,0,,0,0,boundary
141,17.75,-1.25,,1004.73,0,37686.5,,0,0,,0,0,boundary
142,18.25,-1.25,,1004.47,0,35592.7,,0,0,,0,0,boundary
143,18.75,-1.25,,1004.21,0,33432.4,,0,0,,0,0,boundary
144,19.25,-1.25,,1004.11,0,32663.8,,0,0,,0,0,boundary
145,19.75,-1.25,,1004.16,0,33080.5,,0,0,,0,0,boundary
146,20.25,-1.25,,1004.19,0,33307.2,,0,0,,0,0,boundary
147,20.75,-1.25,,1004.23,0,33610.1,,0,0,,0,0,boundary
