h/dp :,1.5
L2norm Pressure,KE,dp,Nparticles
125817,8.7012e+06,0.5,480

t,9.74
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1003.85,0,30544.5,,0,0,,0,0,boundary
1,0.75,-0.25,,1003.7,0,29381.4,,0,0,,0,0,boundary
2,1.25,-0.25,,1003.52,0,27909.1,,0,0,,0,0,boundary
3,1.75,-0.25,,1003.19,0,25308.6,,0,0,,0,0,boundary
4,2.25,-0.25,,1002.75,0,21728.1,,0,0,,0,0,boundary
5,2.75,-0.25,,1002.36,0,18613.4,,0,0,,0,0,boundary
6,3.25,-0.25,,1002.46,0,19446.2,,0,0,,0,0,boundary
7,3.75,-0.25,,1002.39,0,18879,,0,0,,0,0,boundary
8,4.25,-0.25,,1002.46,0,19467.5,,0,0,,0,0,boundary
9,4.75,-0.25,,1002.59,0,20524.3,,0,0,,0,0,boundary
10,5.25,-0.25,,1002.78,0,21983.5,,0,0,,0,0,boundary
11,5.75,-0.25,,1002.96,0,23407.4,,0,0,,0,0,boundary
12,6.25,-0.25,,1003.04,0,24108.3,,0,0,,0,0,boundary
13,6.75,-0.25,,1003.01,0,23866.1,,0,0,,0,0,boundary
14,7.25,-0.25,,1002.96,0,23405.1,,0,0,,0,0,boundary
15,7.75,-0.25,,1002.88,0,22769.4,,0,0,,0,0,boundary
16,8.25,-0.25,,1002.81,0,22208.1,,0,0,,0,0,boundary
17,8.75,-0.25,,1002.78,0,21994.9,,0,0,,0,0,boundary
18,9.25,-0.25,,1002.83,0,22436.2,,0,0,,0,0,boundary
19,9.75,-0.25,,1002.9,0,22990.6,,0,0,,0,0,boundary
20,10.25,-0.25,,1002.93,0,23201.6,,0,0,,0,0,boundary
21,10.75,-0.25,,1002.95,0,23324,,0,0,,0,0,boundary
22,11.25,-0.25,,1002.92,0,23156,,0,0,,0,0,boundary
23,11.75,-0.25,,1002.89,0,22854.3,,0,0,,0,0,boundary
24,12.25,-0.25,,1002.86,0,22660.3,,0,0,,0,0,boundary
25,12.75,-0.25,,1002.84,0,22466.3,,0,0,,0,0,boundary
26,13.25,-0.25,,1002.77,0,21888.9,,0,0,,0,0,boundary
27,13.75,-0.25,,1002.65,0,20979.7,,0,0,,0,0,boundary
28,14.25,-0.25,,1002.64,0,20844.1,,0,0,,0,0,boundary
29,14.75,-0.25,,1002.66,0,21013.9,,0,0,,0,0,boundary
30,15.25,-0.25,,1002.65,0,20991.1,,0,0,,0,0,boundary
31,15.75,-0.25,,1002.63,0,20794.2,,0,0,,0,0,boundary
32,16.25,-0.25,,1002.6,0,20543.1,,0,0,,0,0,boundary
33,16.75,-0.25,,1002.6,0,20602.8,,0,0,,0,0,boundary
34,17.25,-0.25,,1002.7,0,21328.3,,0,0,,0,0,boundary
35,17.75,-0.25,,1002.83,0,22389.9,,0,0,,0,0,boundary
36,18.25,-0.25,,1002.92,0,23092.6,,0,0,,0,0,boundary
37,18.75,-0.25,,1002.97,0,23502.4,,0,0,,0,0,boundary
38,19.25,-0.25,,1003.03,0,24002.1,,0,0,,0,0,boundary
39,19.75,-0.25,,1003.08,0,24419.6,,0,0,,0,0,boundary
40,20.25,-0.25,,1003.14,0,24896.8,,0,0,,0,0,boundary
41,20.75,-0.25,,1003.21,0,25462.9,,0,0,,0,0,boundary
42,21.25,-0.25,,1003.28,0,25997.6,,0,0,,0,0,boundary
43,21.75,-0.25,,1003.33,0,26412.9,,0,0,,0,0,boundary
44,22.25,-0.25,,1003.37,0,26678.2,,0,0,,0,0,boundary
45,22.75,-0.25,,1003.38,0,26778,,0,0,,0,0,boundary
46,23.25,-0.25,,1003.4,0,26965.9,,0,0,,0,0,boundary
47,23.75,-0.25,,1003.45,0,27359.7,,0,0,,0,0,boundary
48,24.25,-0.25,,1003.51,0,27835.2,,0,0,,0,0,boundary
