h/dp :,1.5
L2norm Pressure,KE,dp,Nparticles
1.40864e+06,8.0648e+06,0.5,480

t,9.91
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1005.27,0,42023.6,,0,0,,0,0,boundary
1,0.75,-0.25,,1005.18,0,41260.8,,0,0,,0,0,boundary
2,1.25,-0.25,,1004.39,0,34930.6,,0,0,,0,0,boundary
3,1.75,-0.25,,1003.75,0,29796.9,,0,0,,0,0,boundary
4,2.25,-0.25,,1002.96,0,23477,,0,0,,0,0,boundary
5,2.75,-0.25,,1002.36,0,18644.3,,0,0,,0,0,boundary
6,3.25,-0.25,,1002.08,0,16414.9,,0,0,,0,0,boundary
7,3.75,-0.25,,1001.96,0,15451.5,,0,0,,0,0,boundary
8,4.25,-0.25,,1002.14,0,16888.5,,0,0,,0,0,boundary
9,4.75,-0.25,,1001.95,0,15411.1,,0,0,,0,0,boundary
10,5.25,-0.25,,1002.07,0,16373.1,,0,0,,0,0,boundary
11,5.75,-0.25,,1002.01,0,15883.4,,0,0,,0,0,boundary
12,6.25,-0.25,,1002.08,0,16409.6,,0,0,,0,0,boundary
13,6.75,-0.25,,1002.09,0,16507.3,,0,0,,0,0,boundary
14,7.25,-0.25,,1002.12,0,16729.8,,0,0,,0,0,boundary
15,7.75,-0.25,,1002.26,0,17841.2,,0,0,,0,0,boundary
16,8.25,-0.25,,1002.24,0,17684.8,,0,0,,0,0,boundary
17,8.75,-0.25,,1002.13,0,16805.7,,0,0,,0,0,boundary
18,9.25,-0.25,,1002.3,0,18136.3,,0,0,,0,0,boundary
19,9.75,-0.25,,1002.46,0,19412.1,,0,0,,0,0,boundary
20,10.25,-0.25,,1002.57,0,20358.4,,0,0,,0,0,boundary
21,10.75,-0.25,,1002.71,0,21459.5,,0,0,,0,0,boundary
22,11.25,-0.25,,1002.31,0,18289.9,,0,0,,0,0,boundary
23,11.75,-0.25,,1002.14,0,16896,,0,0,,0,0,boundary
24,12.25,-0.25,,1002.52,0,19938.8,,0,0,,0,0,boundary
25,12.75,-0.25,,1002.81,0,22212,,0,0,,0,0,boundary
26,13.25,-0.25,,1002.78,0,21998.6,,0,0,,0,0,boundary
27,13.75,-0.25,,1002.71,0,21408.5,,0,0,,0,0,boundary
28,14.25,-0.25,,1002.67,0,21094.4,,0,0,,0,0,boundary
29,14.75,-0.25,,1002.78,0,21978,,0,0,,0,0,boundary
30,15.25,-0.25,,1002.8,0,22187.8,,0,0,,0,0,boundary
31,15.75,-0.25,,1002.75,0,21741.8,,0,0,,0,0,boundary
32,16.25,-0.25,,1002.74,0,21689,,0,0,,0,0,boundary
33,16.75,-0.25,,1002.78,0,22038.6,,0,0,,0,0,boundary
34,17.25,-0.25,,1002.84,0,22507.1,,0,0,,0,0,boundary
35,17.75,-0.25,,1002.9,0,22981.1,,0,0,,0,0,boundary
36,18.25,-0.25,,1002.95,0,23328.3,,0,0,,0,0,boundary
37,18.75,-0.25,,1003.01,0,23855.7,,0,0,,0,0,boundary
38,19.25,-0.25,,1003.12,0,24678.5,,0,0,,0,0,boundary
39,19.75,-0.25,,1003.18,0,25201,,0,0,,0,0,boundary
40,20.25,-0.25,,1003.24,0,25647.5,,0,0,,0,0,boundary
41,20.75,-0.25,,1003.29,0,26094.4,,0,0,,0,0,boundary
42,21.25,-0.25,,1003.34,0,26443.6,,0,0,,0,0,boundary
43,21.75,-0.25,,1003.39,0,26853.4,,0,0,,0,0,boundary
44,22.25,-0.25,,1003.41,0,27011.6,,0,0,,0,0,boundary
45,22.75,-0.25,,1003.42,0,27132.1,,0,0,,0,0,boundary
46,23.25,-0.25,,1003.48,0,27588.6,,0,0,,0,0,boundary
47,23.75,-0.25,,1003.56,0,28270.2,,0,0,,0,0,boundary
48,24.25,-0.25,,1003.67,0,29124.2,,0,0,,0,0,boundary
49,24.75,-0.25,,1003.74,0,29720.9,,0,0,,0,0,boundary
50,25.25,-0.25,,1003.75,0,29782.2,,0,0,,0,0,boundary
51,25.75,-0.25,,1003.8,0,30159.2,,0,0,,0,0,boundary
52,26.25,-0.25,,1003.91,0,31055,,0,0,,0,0,boundary
53,0.25,-0.75,,1008.81,0,71007,,0,0,,0,0,boundary
54,0.75,-0.75,,1007.89,0,63419.2,,0,0,,0,0,boundary
55,1.25,-0.75,,1002.17,0,17131.3,,0,0,,0,0,boundary
56,1.75,-0.75,,1000,0,0,,0,0,,0,0,boundary
57,2.25,-0.75,,1003.37,0,26754.1,,0,0,,0,0,boundary
58,2.75,-0.75,,1007.12,0,57104.7,,0,0,,0,0,boundary
59,3.25,-0.75,,1005.51,0,43952.7,,0,0,,0,0,boundary
60,3.75,-0.75,,1003.92,0,31157.4,,0,0,,0,0,boundary
61,4.25,-0.75,,1003.99,0,31674.8,,0,0,,0,0,boundary
62,4.75,-0.75,,1003.26,0,25856.5,,0,0,,0,0,boundary
63,5.25,-0.75,,1003.27,0,25905.8,,0,0,,0,0,boundary
64,5.75,-0.75,,1003.08,0,24362.1,,0,0,,0,0,boundary
65,6.25,-0.75,,1002.97,0,23495.8,,0,0,,0,0,boundary
66,6.75,-0.75,,1002.78,0,21978.5,,0,0,,0,0,boundary
67,7.25,-0.75,,1002.65,0,20978.6,,0,0,,0,0,boundary
68,7.75,-0.75,,1002.57,0,20352,,0,0,,0,0,boundary
69,8.25,-0.75,,1002.53,0,20026.9,,0,0,,0,0,boundary
70,8.75,-0.75,,1002.69,0,21275.9,,0,0,,0,0,boundary
71,9.25,-0.75,,1002.81,0,22278.7,,0,0,,0,0,boundary
72,9.75,-0.75,,1002.7,0,21327.7,,0,0,,0,0,boundary
73,10.25,-0.75,,1002.81,0,22220.2,,0,0,,0,0,boundary
74,10.75,-0.75,,1002.92,0,23153.2,,0,0,,0,0,boundary
75,11.25,-0.75,,1002.86,0,22614.9,,0,0,,0,0,boundary
76,11.75,-0.75,,1003.15,0,24979.1,,0,0,,0,0,boundary
77,12.25,-0.75,,1003.27,0,25901.4,,0,0,,0,0,boundary
78,12.75,-0.75,,1003.03,0,23958.7,,0,0,,0,0,boundary
79,13.25,-0.75,,1003.03,0,24033.6,,0,0,,0,0,boundary
80,13.75,-0.75,,1003.18,0,25235.4,,0,0,,0,0,boundary
81,14.25,-0.75,,1003.07,0,24313.1,,0,0,,0,0,boundary
82,14.75,-0.75,,1002.88,0,22827.4,,0,0,,0,0,boundary
83,15.25,-0.75,,1002.75,0,21740.2,,0,0,,0,0,boundary
84,15.75,-0.75,,1002.73,0,21571,,0,0,,0,0,boundary
85,16.25,-0.75,,1002.76,0,21815.6,,0,0,,0,0,boundary
86,16.75,-0.75,,1002.79,0,22079.7,,0,0,,0,0,boundary
87,17.25,-0.75,,1003.17,0,25119.3,,0,0,,0,0,boundary
88,17.75,-0.75,,1003.43,0,27174.8,,0,0,,0,0,boundary
89,18.25,-0.75,,1003.39,0,26896.2,,0,0,,0,0,boundary
90,18.75,-0.75,,1003.39,0,26844.6,,0,0,,0,0,boundary
91,19.25,-0.75,,1003.51,0,27837.3,,0,0,,0,0,boundary
92,19.75,-0.75,,1003.59,0,28508.6,,0,0,,0,0,boundary
93,20.25,-0.75,,1003.73,0,29619.2,,0,0,,0,0,boundary
94,20.75,-0.75,,1003.94,0,31291.4,,0,0,,0,0,boundary
95,21.25,-0.75,,1004,0,31783,,0,0,,0,0,boundary
96,21.75,-0.75,,1004.09,0,32500.1,,0,0,,0,0,boundary
97,22.25,-0.75,,1004.19,0,33311.3,,0,0,,0,0,boundary
98,22.75,-0.75,,1004.23,0,33598.1,,0,0,,0,0,boundary
99,23.25,-0.75,,1004.22,0,33518.7,,0,0,,0,0,boundary
100,23.75,-0.75,,1004.29,0,34117,,0,0,,0,0,boundary
101,24.25,-0.75,,1004.39,0,34930.9,,0,0,,0,0,boundary
102,24.75,-0.75,,1004.44,0,35297.2,,0,0,,0,0,boundary
103,25.25,-0.75,,1004.41,0,35054.1,,0,0,,0,0,boundary
104,25.75,-0.75,,1004.45,0,35418,,0,0,,0,0,boundary
105,26.25,-0.75,,1004.58,0,36407.2,,0,0,,0,0,boundary
106,0.25,-1.25,,1011.73,0,95370,,0,0,,0,0,boundary
107,0.75,-1.25,,1013.29,0,108518,,0,0,,0,0,boundary
108,1.25,-1.25,,1003.47,0,27531.9,,0,0,,0,0,boundary
109,1.75,-1.25,,1000,0,0,,0,0,,0,0,boundary
110,2.25,-1.25,,1000.82,0,6419.25,,0,0,,0,0,boundary
111,2.75,-1.25,,1007.9,0,63521.8,,0,0,,0,0,boundary
112,3.25,-1.25,,1008.76,0,70571.5,,0,0,,0,0,boundary
113,3.75,-1.25,,1005.29,0,42181.7,,0,0,,0,0,boundary
114,4.25,-1.25,,1003.88,0,30767.1,,0,0,,0,0,boundary
115,4.75,-1.25,,1002.65,0,20985.8,,0,0,,0,0,boundary
116,5.25,-1.25,,1003.25,0,25758.3,,0,0,,0,0,boundary
117,5.75,-1.25,,1003.55,0,28193.7,,0,0,,0,0,boundary
118,6.25,-1.25,,1003.46,0,27425.4,,0,0,,0,0,boundary
119,6.75,-1.25,,1003.48,0,27577.8,,0,0,,0,0,boundary
120,7.25,-1.25,,1003.36,0,26657.7,,0,0,,0,0,boundary
121,7.75,-1.25,,1003.71,0,29475,,0,0,,0,0,boundary
122,8.25,-1.25,,1004.07,0,32311.6,,0,0,,0,0,boundary
123,8.75,-1.25,,1004.24,0,33723.7,,0,0,,0,0,boundary
124,9.25,-1.25,,1004.4,0,35015,,0,0,,0,0,boundary
125,9.75,-1.25,,1004.06,0,32226,,0,0,,0,0,boundary
126,10.25,-1.25,,1004.01,0,31889.6,,0,0,,0,0,boundary
127,10.75,-1.25,,1003.7,0,29324.1,,0,0,,0,0,boundary
128,11.25,-1.25,,1003.73,0,29628.1,,0,0,,0,0,boundary
129,11.75,-1.25,,1003.58,0,28413,,0,0,,0,0,boundary
130,12.25,-1.25,,1003.52,0,27947.6,,0,0,,0,0,boundary
131,12.75,-1.25,,1003.71,0,29407.3,,0,0,,0,0,boundary
132,13.25,-1.25,,1003.84,0,30515.9,,0,0,,0,0,boundary
133,13.75,-1.25,,1004.04,0,32126.8,,0,0,,0,0,boundary
134,14.25,-1.25,,1003.89,0,30902.8,,0,0,,0,0,boundary
135,14.75,-1.25,,1003.37,0,26735,,0,0,,0,0,boundary
136,15.25,-1.25,,1003.6,0,28575.4,,0,0,,0,0,boundary
137,15.75,-1.25,,1003.98,0,31649.2,,0,0,,0,0,boundary
138,16.25,-1.25,,1004.12,0,32719.4,,0,0,,0,0,boundary
139,16.75,-1.25,,1003.98,0,31594.1,,0,0,,0,0,boundary
140,17.25,-1.25,,1003.77,0,29960.4,,0,0,,0,0,boundary
141,17.75,-1.25,,1003.62,0,28716.5,,0,0,,0,0,boundary
142,18.25,-1.25,,1003.58,0,28387,,0,0,,0,0,boundary
143,18.75,-1.25,,1003.68,0,29219.9,,0,0,,0,0,boundary
