h/dp :,2
L2norm Pressure,KE,dp,Nparticles
47183.2,1.15578e+08,0.5,640

t,4.51
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1004.75,0,37805.8,,0,0,,0,0,boundary
1,0.75,-0.25,,1004.88,0,38867.6,,0,0,,0,0,boundary
2,1.25,-0.25,,1005,0,39834.8,,0,0,,0,0,boundary
3,1.75,-0.25,,1005.01,0,39936.8,,0,0,,0,0,boundary
4,2.25,-0.25,,1004.89,0,38967,,0,0,,0,0,boundary
5,2.75,-0.25,,1004.71,0,37525.9,,0,0,,0,0,boundary
6,3.25,-0.25,,1004.52,0,35979.3,,0,0,,0,0,boundary
7,3.75,-0.25,,1004.27,0,33918.1,,0,0,,0,0,boundary
8,4.25,-0.25,,1004.01,0,31832,,0,0,,0,0,boundary
9,4.75,-0.25,,1003.74,0,29714.3,,0,0,,0,0,boundary
10,5.25,-0.25,,1003.5,0,27756.9,,0,0,,0,0,boundary
11,5.75,-0.25,,1003.27,0,25888.6,,0,0,,0,0,boundary
12,6.25,-0.25,,1003.05,0,24165.5,,0,0,,0,0,boundary
13,6.75,-0.25,,1002.84,0,22457.7,,0,0,,0,0,boundary
14,7.25,-0.25,,1002.64,0,20912,,0,0,,0,0,boundary
15,7.75,-0.25,,1002.49,0,19703.9,,0,0,,0,0,boundary
16,8.25,-0.25,,1002.34,0,18483,,0,0,,0,0,boundary
17,8.75,-0.25,,1002.2,0,17413.9,,0,0,,0,0,boundary
18,9.25,-0.25,,1002.07,0,16359.2,,0,0,,0,0,boundary
19,9.75,-0.25,,1002,0,15798,,0,0,,0,0,boundary
20,10.25,-0.25,,1001.94,0,15349.6,,0,0,,0,0,boundary
21,10.75,-0.25,,1001.9,0,14959,,0,0,,0,0,boundary
22,11.25,-0.25,,1001.82,0,14357.1,,0,0,,0,0,boundary
23,11.75,-0.25,,1001.78,0,14008.1,,0,0,,0,0,boundary
24,12.25,-0.25,,1001.78,0,14012,,0,0,,0,0,boundary
25,12.75,-0.25,,1001.72,0,13581.3,,0,0,,0,0,boundary
26,13.25,-0.25,,1001.6,0,12616.3,,0,0,,0,0,boundary
27,13.75,-0.25,,1001.51,0,11867.3,,0,0,,0,0,boundary
28,14.25,-0.25,,1001.42,0,11222.2,,0,0,,0,0,boundary
29,14.75,-0.25,,1001.33,0,10477.8,,0,0,,0,0,boundary
30,15.25,-0.25,,1001.23,0,9664.47,,0,0,,0,0,boundary
31,15.75,-0.25,,1001.12,0,8837.09,,0,0,,0,0,boundary
32,16.25,-0.25,,1001,0,7863.12,,0,0,,0,0,boundary
33,16.75,-0.25,,1000.96,0,7534.75,,0,0,,0,0,boundary
34,17.25,-0.25,,1000.82,0,6465.19,,0,0,,0,0,boundary
35,17.75,-0.25,,1000.71,0,5616.69,,0,0,,0,0,boundary
36,18.25,-0.25,,1000.57,0,4441.98,,0,0,,0,0,boundary
37,18.75,-0.25,,1000.4,0,3158.44,,0,0,,0,0,boundary
38,19.25,-0.25,,1000.31,0,2440.1,,0,0,,0,0,boundary
39,19.75,-0.25,,1000.31,0,2433.08,,0,0,,0,0,boundary
40,20.25,-0.25,,1000.24,0,1898.37,,0,0,,0,0,boundary
41,20.75,-0.25,,1000.21,0,1620.62,,0,0,,0,0,boundary
42,21.25,-0.25,,1000.03,0,273.239,,0,0,,0,0,boundary
43,21.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
44,22.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
45,22.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
46,23.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
47,23.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
48,24.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
49,24.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
50,25.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
51,25.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
52,26.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
53,26.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
54,27.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
55,27.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
56,28.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
57,28.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
58,29.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
59,29.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
60,30.25,-0.25,,1000.67,0,5287.89,,0,0,,0,0,boundary
61,30.75,-0.25,,1000.26,0,2035.77,,0,0,,0,0,boundary
62,31.25,-0.25,,1000.99,0,7779.34,,0,0,,0,0,boundary
63,31.75,-0.25,,1000.92,0,7214.33,,0,0,,0,0,boundary
64,32.25,-0.25,,1001.23,0,9654.75,,0,0,,0,0,boundary
65,32.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
66,33.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
67,33.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
