h/dp :,2
L2norm Pressure,KE,dp,Nparticles
138299,3.2917e+08,0.5,1152

t,5.95
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
0,0.25,-0.25,,1003.54,0,84299,,0,0,0,,0,0,336.006,-9.81,boundary
1,0.75,-0.25,,1003.02,0,71772.3,,0,0,0,,0,0,95.4082,-9.81,boundary
2,1.25,-0.25,,1003.44,0,81792.6,,0,0,0,,0,0,65.2099,-9.81,boundary
3,1.75,-0.25,,1004.59,0,109671,,0,0,0,,0,0,62.3828,-9.81,boundary
4,2.25,-0.25,,1008.78,0,212282,,0,0,0,,0,0,93.5262,-9.81,boundary
5,2.75,-0.25,,1014.49,0,356466,,0,0,0,,0,0,127.772,-9.81,boundary
6,3.25,-0.25,,1017.1,0,423804,,0,0,0,,0,0,128.209,-9.81,boundary
7,3.75,-0.25,,1017.64,0,438019,,0,0,0,,0,0,114.78,-9.81,boundary
8,4.25,-0.25,,1019.44,0,485166,,0,0,0,,0,0,111.98,-9.81,boundary
9,4.75,-0.25,,1020.89,0,523637,,0,0,0,,0,0,107.984,-9.81,boundary
10,5.25,-0.25,,1020.32,0,508597,,0,0,0,,0,0,94.9462,-9.81,boundary
11,5.75,-0.25,,1016.16,0,399335,,0,0,0,,0,0,68.3454,-9.81,boundary
12,6.25,-0.25,,1011.88,0,289816,,0,0,0,,0,0,45.8263,-9.81,boundary
13,6.75,-0.25,,1011.01,0,267854,,0,0,0,,0,0,39.25,-9.81,boundary
14,7.25,-0.25,,1011.56,0,281721,,0,0,0,,0,0,38.4141,-9.81,boundary
15,7.75,-0.25,,1011.45,0,279114,,0,0,0,,0,0,35.6068,-9.81,boundary
16,8.25,-0.25,,1010.55,0,256502,,0,0,0,,0,0,30.7665,-9.81,boundary
17,8.75,-0.25,,1010.24,0,248516,,0,0,0,,0,0,28.114,-9.81,boundary
18,9.25,-0.25,,1010.98,0,267110,,0,0,0,,0,0,28.5632,-9.81,boundary
19,9.75,-0.25,,1011.42,0,278156,,0,0,0,,0,0,28.2069,-9.81,boundary
20,10.25,-0.25,,1010.88,0,264653,,0,0,0,,0,0,25.5419,-9.81,boundary
21,10.75,-0.25,,1009.9,0,240188,,0,0,0,,0,0,22.124,-9.81,boundary
22,11.25,-0.25,,1008.77,0,211885,,0,0,0,,0,0,18.6706,-9.81,boundary
23,11.75,-0.25,,1007.7,0,185496,,0,0,0,,0,0,15.6663,-9.81,boundary
24,12.25,-0.25,,1006.9,0,165787,,0,0,0,,0,0,13.4409,-9.81,boundary
25,12.75,-0.25,,1006.18,0,148297,,0,0,0,,0,0,11.5597,-9.81,boundary
26,13.25,-0.25,,1005.34,0,127719,,0,0,0,,0,0,9.58799,-9.81,boundary
27,13.75,-0.25,,1004.53,0,108213,,0,0,0,,0,0,7.83452,-9.81,boundary
28,14.25,-0.25,,1004.05,0,96410.7,,0,0,0,,0,0,6.7384,-9.81,boundary
29,14.75,-0.25,,1003.72,0,88683.5,,0,0,0,,0,0,5.99013,-9.81,boundary
30,15.25,-0.25,,1003.32,0,78947.9,,0,0,0,,0,0,5.15978,-9.81,boundary
31,15.75,-0.25,,1002.72,0,64667.4,,0,0,0,,0,0,4.09471,-9.81,boundary
32,16.25,-0.25,,1002.06,0,48806.6,,0,0,0,,0,0,2.99731,-9.81,boundary
33,16.75,-0.25,,1001.25,0,29454.2,,0,0,0,,0,0,1.75627,-9.81,boundary
34,17.25,-0.25,,1000.83,0,19625.2,,0,0,0,,0,0,1.13675,-9.81,boundary
35,17.75,-0.25,,1000.62,0,14699.4,,0,0,0,,0,0,0.827618,-9.81,boundary
36,18.25,-0.25,,1000.73,0,17165.4,,0,0,0,,0,0,0.939888,-9.81,boundary
37,18.75,-0.25,,1000.9,0,21303.6,,0,0,0,,0,0,1.13517,-9.81,boundary
38,19.25,-0.25,,1000.72,0,16988.4,,0,0,0,,0,0,0.881879,-9.81,boundary
39,19.75,-0.25,,1000.19,0,4484.87,,0,0,0,,0,0,0.227039,-9.81,boundary
40,20.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
41,20.75,-0.25,,1000.3,0,6958.39,,0,0,0,,0,0,0.335245,-9.81,boundary
42,21.25,-0.25,,1000.63,0,14957.5,,0,0,0,,0,0,0.703438,-9.81,boundary
43,21.75,-0.25,,1000.65,0,15374.4,,0,0,0,,0,0,0.706407,-9.81,boundary
44,22.25,-0.25,,1000.5,0,11759.8,,0,0,0,,0,0,0.528265,-9.81,boundary
45,22.75,-0.25,,1000.59,0,13880.6,,0,0,0,,0,0,0.609779,-9.81,boundary
46,23.25,-0.25,,1000.92,0,21721.6,,0,0,0,,0,0,0.933402,-9.81,boundary
47,23.75,-0.25,,1001.19,0,28159,,0,0,0,,0,0,1.18423,-9.81,boundary
48,24.25,-0.25,,1000.95,0,22543.4,,0,0,0,,0,0,0.92874,-9.81,boundary
49,24.75,-0.25,,1000.44,0,10469.9,,0,0,0,,0,0,0.422838,-9.81,boundary
50,25.25,-0.25,,1000.32,0,7479.3,,0,0,0,,0,0,0.296116,-9.81,boundary
51,25.75,-0.25,,1000.57,0,13421.9,,0,0,0,,0,0,0.520943,-9.81,boundary
52,0.25,-0.75,,1004.03,0,96092.4,,0,0,0,,0,0,382.826,-9.81,boundary
53,0.75,-0.75,,1003.55,0,84401,,0,0,0,,0,0,112.137,-9.81,boundary
54,1.25,-0.75,,1003.89,0,92572.8,,0,0,0,,0,0,73.7715,-9.81,boundary
55,1.75,-0.75,,1005.22,0,124931,,0,0,0,,0,0,71.0184,-9.81,boundary
56,2.25,-0.75,,1008.32,0,200802,,0,0,0,,0,0,88.5089,-9.81,boundary
57,2.75,-0.75,,1011.6,0,282695,,0,0,0,,0,0,101.62,-9.81,boundary
58,3.25,-0.75,,1012.53,0,306254,,0,0,0,,0,0,93.0662,-9.81,boundary
59,3.75,-0.75,,1011.85,0,289116,,0,0,0,,0,0,76.1946,-9.81,boundary
60,4.25,-0.75,,1013.81,0,338805,,0,0,0,,0,0,78.6333,-9.81,boundary
61,4.75,-0.75,,1016.27,0,402326,,0,0,0,,0,0,83.3441,-9.81,boundary
62,5.25,-0.75,,1015.57,0,384054,,0,0,0,,0,0,72.0319,-9.81,boundary
63,5.75,-0.75,,1010.74,0,261235,,0,0,0,,0,0,44.9492,-9.81,boundary
64,6.25,-0.75,,1007.78,0,187594,,0,0,0,,0,0,29.7832,-9.81,boundary
65,6.75,-0.75,,1008.7,0,210374,,0,0,0,,0,0,30.8976,-9.81,boundary
66,7.25,-0.75,,1011.01,0,267960,,0,0,0,,0,0,36.5574,-9.81,boundary
67,7.75,-0.75,,1012.01,0,293183,,0,0,0,,0,0,37.3811,-9.81,boundary
68,8.25,-0.75,,1011.52,0,280811,,0,0,0,,0,0,33.65,-9.81,boundary
69,8.75,-0.75,,1011.11,0,270380,,0,0,0,,0,0,30.5611,-9.81,boundary
70,9.25,-0.75,,1011.78,0,287321,,0,0,0,,0,0,30.7001,-9.81,boundary
71,9.75,-0.75,,1012.26,0,299528,,0,0,0,,0,0,30.3487,-9.81,boundary
72,10.25,-0.75,,1011.67,0,284569,,0,0,0,,0,0,27.4426,-9.81,boundary
73,10.75,-0.75,,1010.7,0,260152,,0,0,0,,0,0,23.944,-9.81,boundary
74,11.25,-0.75,,1009.49,0,229807,,0,0,0,,0,0,20.2353,-9.81,boundary
75,11.75,-0.75,,1008.16,0,196974,,0,0,0,,0,0,16.628,-9.81,boundary
76,12.25,-0.75,,1007.25,0,174354,,0,0,0,,0,0,14.1306,-9.81,boundary
77,12.75,-0.75,,1006.44,0,154551,,0,0,0,,0,0,12.0441,-9.81,boundary
78,13.25,-0.75,,1005.43,0,129914,,0,0,0,,0,0,9.75187,-9.81,boundary
79,13.75,-0.75,,1004.52,0,107985,,0,0,0,,0,0,7.8181,-9.81,boundary
80,14.25,-0.75,,1004.01,0,95489.9,,0,0,0,,0,0,6.6743,-9.81,boundary
81,14.75,-0.75,,1003.62,0,86230.4,,0,0,0,,0,0,5.82502,-9.81,boundary
82,15.25,-0.75,,1003.04,0,72249.1,,0,0,0,,0,0,4.72328,-9.81,boundary
83,15.75,-0.75,,1002.4,0,56887.6,,0,0,0,,0,0,3.60327,-9.81,boundary
84,16.25,-0.75,,1002.26,0,53479.1,,0,0,0,,0,0,3.28361,-9.81,boundary
85,16.75,-0.75,,1001.94,0,46045.5,,0,0,0,,0,0,2.74365,-9.81,boundary
86,17.25,-0.75,,1001.34,0,31742.7,,0,0,0,,0,0,1.83769,-9.81,boundary
87,17.75,-0.75,,1000.53,0,12450,,0,0,0,,0,0,0.701039,-9.81,boundary
88,18.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
89,18.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
90,19.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
91,19.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
92,20.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
93,20.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
94,21.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
