h/dp :,2
L2norm Pressure,KE,dp,Nparticles
84573,827775,0.5,288

t,3.89
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
0,0.25,-0.25,,1000.98,0,11628.9,,0,0,0,,0,0,46.4699,-9.81,boundary
1,0.75,-0.25,,1001.81,0,21398.1,,0,0,0,,0,0,28.4793,-9.81,boundary
2,1.25,-0.25,,1001.96,0,23154.5,,0,0,0,,0,0,18.4874,-9.81,boundary
3,1.75,-0.25,,1002.13,0,25198.1,,0,0,0,,0,0,14.3684,-9.81,boundary
4,2.25,-0.25,,1002.08,0,24621.8,,0,0,0,,0,0,10.9203,-9.81,boundary
5,2.75,-0.25,,1001.46,0,17274.8,,0,0,0,,0,0,6.27256,-9.81,boundary
6,3.25,-0.25,,1000.73,0,8573.33,,0,0,0,,0,0,2.63603,-9.81,boundary
7,3.75,-0.25,,1000.65,0,7689.66,,0,0,0,,0,0,2.04924,-9.81,boundary
8,4.25,-0.25,,1000.89,0,10480.3,,0,0,0,,0,0,2.46376,-9.81,boundary
9,4.75,-0.25,,1000.81,0,9603.64,,0,0,0,,0,0,2.02017,-9.81,boundary
10,5.25,-0.25,,1000.11,0,1282.57,,0,0,0,,0,0,0.244272,-9.81,boundary
11,5.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
12,6.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
13,6.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
14,7.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
15,7.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
16,8.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
17,8.75,-0.25,,1000.36,0,4261.71,,0,0,0,,0,0,0.486876,-9.81,boundary
18,9.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
19,9.75,-0.25,,1000.2,0,2379.34,,0,0,0,,0,0,0.243985,-9.81,boundary
20,10.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
21,10.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
22,11.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
23,11.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
24,12.25,-0.25,,1000.01,0,152.156,,0,0,0,,0,0,0.0124207,-9.81,boundary
25,12.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
26,13.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
27,13.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
28,14.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
29,14.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
30,15.25,-0.25,,1000.17,0,2019.13,,0,0,0,,0,0,0.132379,-9.81,boundary
31,15.75,-0.25,,1000.71,0,8399.3,,0,0,0,,0,0,0.532909,-9.81,boundary
32,16.25,-0.25,,1000.94,0,11070.9,,0,0,0,,0,0,0.68065,-9.81,boundary
33,16.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
34,17.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
35,17.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
36,18.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
37,18.75,-0.25,,1000.15,0,1757.38,,0,0,0,,0,0,0.0937128,-9.81,boundary
38,19.25,-0.25,,1000.19,0,2277.76,,0,0,0,,0,0,0.118302,-9.81,boundary
39,19.75,-0.25,,1000.21,0,2434.39,,0,0,0,,0,0,0.123235,-9.81,boundary
40,20.25,-0.25,,1000.62,0,7317.29,,0,0,0,,0,0,0.361124,-9.81,boundary
41,20.75,-0.25,,1000,0,8.88237,,0,0,0,,0,0,0.000428066,-9.81,boundary
42,21.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
43,21.75,-0.25,,1000.27,0,3213.12,,0,0,0,,0,0,0.147689,-9.81,boundary
44,22.25,-0.25,,1001.47,0,17412.7,,0,0,0,,0,0,0.781442,-9.81,boundary
45,22.75,-0.25,,1001.82,0,21548.9,,0,0,0,,0,0,0.945484,-9.81,boundary
46,23.25,-0.25,,1001.89,0,22424.7,,0,0,0,,0,0,0.96268,-9.81,boundary
47,23.75,-0.25,,1000.65,0,7699.01,,0,0,0,,0,0,0.323957,-9.81,boundary
48,24.25,-0.25,,1000.65,0,7699.01,,0,0,0,,0,0,0.317278,-9.81,boundary
49,24.75,-0.25,,1001.43,0,16890.1,,0,0,0,,0,0,0.681455,-9.81,boundary
50,25.25,-0.25,,1001.62,0,19165.3,,0,0,0,,0,0,0.757794,-9.81,boundary
51,0.25,-0.75,,1001.9,0,22541.1,,0,0,0,,0,0,89.993,-9.81,boundary
52,0.75,-0.75,,1001.87,0,22082.4,,0,0,0,,0,0,29.3884,-9.81,boundary
53,1.25,-0.75,,1001.91,0,22569,,0,0,0,,0,0,18.0209,-9.81,boundary
54,1.75,-0.75,,1002.13,0,25198.3,,0,0,0,,0,0,14.3684,-9.81,boundary
55,2.25,-0.75,,1002.19,0,25930.6,,0,0,0,,0,0,11.4996,-9.81,boundary
56,2.75,-0.75,,1001.67,0,19775.9,,0,0,0,,0,0,7.17923,-9.81,boundary
57,3.25,-0.75,,1000.78,0,9193.97,,0,0,0,,0,0,2.82671,-9.81,boundary
58,3.75,-0.75,,1000.73,0,8586.91,,0,0,0,,0,0,2.28818,-9.81,boundary
59,4.25,-0.75,,1000.86,0,10109.8,,0,0,0,,0,0,2.37674,-9.81,boundary
60,4.75,-0.75,,1000.98,0,11520.2,,0,0,0,,0,0,2.42294,-9.81,boundary
61,5.25,-0.75,,1000.32,0,3807.65,,0,0,0,,0,0,0.725033,-9.81,boundary
62,5.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
63,6.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
64,6.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
65,7.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
66,7.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
67,8.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
68,8.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
69,9.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
70,9.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
71,10.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
72,10.75,-0.75,,1000.27,0,3175.97,,0,0,0,,0,0,0.29536,-9.81,boundary
73,11.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
74,11.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
75,12.25,-0.75,,1000.01,0,142.028,,0,0,0,,0,0,0.011594,-9.81,boundary
76,12.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
77,13.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
78,13.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
79,14.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
80,14.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
81,15.25,-0.75,,1000.36,0,4295.63,,0,0,0,,0,0,0.281578,-9.81,boundary
82,15.75,-0.75,,1000.81,0,9612.34,,0,0,0,,0,0,0.609811,-9.81,boundary
83,16.25,-0.75,,1001.98,0,23468.8,,0,0,0,,0,0,1.44138,-9.81,boundary
84,16.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
85,17.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
86,17.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
87,18.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
88,18.75,-0.75,,1000.15,0,1794.21,,0,0,0,,0,0,0.0956764,-9.81,boundary
89,19.25,-0.75,,1000.19,0,2293.82,,0,0,0,,0,0,0.119136,-9.81,boundary
90,19.75,-0.75,,1000.21,0,2462.62,,0,0,0,,0,0,0.124664,-9.81,boundary
91,20.25,-0.75,,1000.19,0,2262.1,,0,0,0,,0,0,0.111687,-9.81,boundary
92,20.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
93,21.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
94,21.75,-0.75,,1001.08,0,12802.1,,0,0,0,,0,0,0.587966,-9.81,boundary
95,22.25,-0.75,,1002.38,0,28203.9,,0,0,0,,0,0,1.26458,-9.81,boundary
96,22.75,-0.75,,1002.73,0,32349.2,,0,0,0,,0,0,1.41808,-9.81,boundary
97,23.25,-0.75,,1002.68,0,31837.7,,0,0,0,,0,0,1.3657,-9.81,boundary
98,23.75,-0.75,,1002.51,0,29784.4,,0,0,0,,0,0,1.25094,-9.81,boundary
99,24.25,-0.75,,1002.39,0,28294.5,,0,0,0,,0,0,1.164,-9.81,boundary
100,24.75,-0.75,,1002.23,0,26442.7,,0,0,0,,0,0,1.06601,-9.81,boundary
101,25.25,-0.75,,1002.35,0,27828.2,,0,0,0,,0,0,1.09953,-9.81,boundary
102,0.25,-1.25,,1001.72,0,20318.8,,0,0,0,,0,0,81.1359,-9.81,boundary
103,0.75,-1.25,,1001.64,0,19411.9,,0,0,0,,0,0,25.8401,-9.81,boundary
104,1.25,-1.25,,1001.19,0,14103.5,,0,0,0,,0,0,11.2693,-9.81,boundary
105,1.75,-1.25,,1001.41,0,16643.5,,0,0,0,,0,0,9.4972,-9.81,boundary
106,2.25,-1.25,,1001.62,0,19169.6,,0,0,0,,0,0,8.50602,-9.81,boundary
107,2.75,-1.25,,1001.56,0,18417.7,,0,0,0,,0,0,6.68695,-9.81,boundary
108,3.25,-1.25,,1000.79,0,9358.4,,0,0,0,,0,0,2.87722,-9.81,boundary
109,3.75,-1.25,,1000.75,0,8808.66,,0,0,0,,0,0,2.34722,-9.81,boundary
110,4.25,-1.25,,1001.09,0,12844.3,,0,0,0,,0,0,3.01889,-9.81,boundary
111,4.75,-1.25,,1001.27,0,14954.6,,0,0,0,,0,0,3.14436,-9.81,boundary
112,5.25,-1.25,,1000.63,0,7420.81,,0,0,0,,0,0,1.4126,-9.81,boundary
113,5.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
114,6.25,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
