h/dp :,2
L2norm Pressure,KE,dp,Nparticles
41049,16550.5,0.5,480

t,11
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1003.19,0,25241.9,,0,0,,0,0,boundary
1,0.75,-0.25,,1005.1,0,40638.5,,0,0,,0,0,boundary
2,1.25,-0.25,,1006,0,47977.9,,0,0,,0,0,boundary
3,1.75,-0.25,,1005.99,0,47891.4,,0,0,,0,0,boundary
4,2.25,-0.25,,1005.46,0,43538.3,,0,0,,0,0,boundary
5,2.75,-0.25,,1004.99,0,39726.9,,0,0,,0,0,boundary
6,3.25,-0.25,,1004.73,0,37636.4,,0,0,,0,0,boundary
7,3.75,-0.25,,1004.57,0,36374.9,,0,0,,0,0,boundary
8,4.25,-0.25,,1004.51,0,35914.7,,0,0,,0,0,boundary
9,4.75,-0.25,,1004.53,0,36025.6,,0,0,,0,0,boundary
10,5.25,-0.25,,1004.51,0,35893.9,,0,0,,0,0,boundary
11,5.75,-0.25,,1004.42,0,35171.7,,0,0,,0,0,boundary
12,6.25,-0.25,,1004.37,0,34757.9,,0,0,,0,0,boundary
13,6.75,-0.25,,1004.4,0,35000.8,,0,0,,0,0,boundary
14,7.25,-0.25,,1004.48,0,35595.3,,0,0,,0,0,boundary
15,7.75,-0.25,,1004.56,0,36311.3,,0,0,,0,0,boundary
16,8.25,-0.25,,1004.65,0,36998.8,,0,0,,0,0,boundary
17,8.75,-0.25,,1004.7,0,37380.8,,0,0,,0,0,boundary
18,9.25,-0.25,,1004.7,0,37414.8,,0,0,,0,0,boundary
19,9.75,-0.25,,1004.65,0,36991.5,,0,0,,0,0,boundary
20,10.25,-0.25,,1004.57,0,36372.7,,0,0,,0,0,boundary
21,10.75,-0.25,,1004.5,0,35778.5,,0,0,,0,0,boundary
22,11.25,-0.25,,1004.43,0,35211.6,,0,0,,0,0,boundary
23,11.75,-0.25,,1004.38,0,34857.1,,0,0,,0,0,boundary
24,12.25,-0.25,,1004.35,0,34571.5,,0,0,,0,0,boundary
25,12.75,-0.25,,1004.31,0,34258.1,,0,0,,0,0,boundary
26,13.25,-0.25,,1004.3,0,34200.8,,0,0,,0,0,boundary
27,13.75,-0.25,,1004.26,0,33869.4,,0,0,,0,0,boundary
28,14.25,-0.25,,1004.24,0,33736,,0,0,,0,0,boundary
29,14.75,-0.25,,1004.23,0,33592.8,,0,0,,0,0,boundary
30,15.25,-0.25,,1004.22,0,33536.9,,0,0,,0,0,boundary
31,15.75,-0.25,,1004.22,0,33516,,0,0,,0,0,boundary
32,16.25,-0.25,,1004.15,0,32954.1,,0,0,,0,0,boundary
33,16.75,-0.25,,1004.12,0,32751.8,,0,0,,0,0,boundary
34,17.25,-0.25,,1004.17,0,33108.8,,0,0,,0,0,boundary
35,17.75,-0.25,,1003.93,0,31241,,0,0,,0,0,boundary
36,18.25,-0.25,,1003.85,0,30544.6,,0,0,,0,0,boundary
37,18.75,-0.25,,1004.08,0,32443.1,,0,0,,0,0,boundary
38,19.25,-0.25,,1004.46,0,35481.2,,0,0,,0,0,boundary
39,19.75,-0.25,,1004.12,0,32737.7,,0,0,,0,0,boundary
