h/dp :,2
L2norm Pressure,KE,dp,Nparticles
1.09398e+06,443333,0.5,480

t,15.57
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1003.97,0,31537.5,,0,0,,0,0,boundary
1,0.75,-0.25,,1004.03,0,32022.3,,0,0,,0,0,boundary
2,1.25,-0.25,,1004.15,0,32954.6,,0,0,,0,0,boundary
3,1.75,-0.25,,1004.26,0,33853.7,,0,0,,0,0,boundary
4,2.25,-0.25,,1004.25,0,33822,,0,0,,0,0,boundary
5,2.75,-0.25,,1004.16,0,33021.8,,0,0,,0,0,boundary
6,3.25,-0.25,,1004.1,0,32600.8,,0,0,,0,0,boundary
7,3.75,-0.25,,1004.14,0,32873.4,,0,0,,0,0,boundary
8,4.25,-0.25,,1004.21,0,33421.1,,0,0,,0,0,boundary
9,4.75,-0.25,,1004.3,0,34210.7,,0,0,,0,0,boundary
10,5.25,-0.25,,1004.45,0,35423.8,,0,0,,0,0,boundary
11,5.75,-0.25,,1004.66,0,37083.5,,0,0,,0,0,boundary
12,6.25,-0.25,,1004.86,0,38669.9,,0,0,,0,0,boundary
13,6.75,-0.25,,1004.94,0,39385.3,,0,0,,0,0,boundary
14,7.25,-0.25,,1004.89,0,38925.8,,0,0,,0,0,boundary
15,7.75,-0.25,,1004.68,0,37208.6,,0,0,,0,0,boundary
16,8.25,-0.25,,1004.35,0,34621.4,,0,0,,0,0,boundary
17,8.75,-0.25,,1004.03,0,31984.5,,0,0,,0,0,boundary
18,9.25,-0.25,,1003.78,0,29997.1,,0,0,,0,0,boundary
19,9.75,-0.25,,1003.61,0,28605,,0,0,,0,0,boundary
20,10.25,-0.25,,1003.47,0,27484,,0,0,,0,0,boundary
21,10.75,-0.25,,1003.37,0,26709.3,,0,0,,0,0,boundary
22,11.25,-0.25,,1003.27,0,25952.4,,0,0,,0,0,boundary
23,11.75,-0.25,,1003.16,0,24998.1,,0,0,,0,0,boundary
24,12.25,-0.25,,1003.05,0,24192.7,,0,0,,0,0,boundary
25,12.75,-0.25,,1003.03,0,23963.2,,0,0,,0,0,boundary
26,13.25,-0.25,,1002.98,0,23609.9,,0,0,,0,0,boundary
27,13.75,-0.25,,1002.87,0,22697.3,,0,0,,0,0,boundary
28,14.25,-0.25,,1002.79,0,22095.6,,0,0,,0,0,boundary
29,14.75,-0.25,,1002.73,0,21578.9,,0,0,,0,0,boundary
30,15.25,-0.25,,1002.67,0,21135.9,,0,0,,0,0,boundary
31,15.75,-0.25,,1002.62,0,20760.3,,0,0,,0,0,boundary
32,16.25,-0.25,,1002.57,0,20359.2,,0,0,,0,0,boundary
33,16.75,-0.25,,1002.52,0,19954.5,,0,0,,0,0,boundary
34,17.25,-0.25,,1002.47,0,19567.3,,0,0,,0,0,boundary
35,17.75,-0.25,,1002.44,0,19288.2,,0,0,,0,0,boundary
36,18.25,-0.25,,1002.42,0,19095.4,,0,0,,0,0,boundary
37,18.75,-0.25,,1002.4,0,18937.3,,0,0,,0,0,boundary
38,19.25,-0.25,,1002.38,0,18778.9,,0,0,,0,0,boundary
39,19.75,-0.25,,1002.37,0,18704,,0,0,,0,0,boundary
40,20.25,-0.25,,1002.36,0,18665.1,,0,0,,0,0,boundary
41,20.75,-0.25,,1002.36,0,18622,,0,0,,0,0,boundary
42,21.25,-0.25,,1002.33,0,18435.9,,0,0,,0,0,boundary
43,21.75,-0.25,,1002.3,0,18183.8,,0,0,,0,0,boundary
44,22.25,-0.25,,1002.27,0,17919.6,,0,0,,0,0,boundary
45,22.75,-0.25,,1002.2,0,17401.6,,0,0,,0,0,boundary
46,23.25,-0.25,,1002.13,0,16814,,0,0,,0,0,boundary
47,23.75,-0.25,,1002.14,0,16905.7,,0,0,,0,0,boundary
48,24.25,-0.25,,1002.19,0,17269.7,,0,0,,0,0,boundary
49,24.75,-0.25,,1001.98,0,15600.1,,0,0,,0,0,boundary
50,25.25,-0.25,,1001.62,0,12772.8,,0,0,,0,0,boundary
51,25.75,-0.25,,1002.43,0,19226.8,,0,0,,0,0,boundary
52,26.25,-0.25,,1002.48,0,19591.7,,0,0,,0,0,boundary
53,0.25,-0.75,,1004.55,0,36195,,0,0,,0,0,boundary
54,0.75,-0.75,,1004.61,0,36681.8,,0,0,,0,0,boundary
55,1.25,-0.75,,1004.72,0,37541.9,,0,0,,0,0,boundary
56,1.75,-0.75,,1004.8,0,38247.2,,0,0,,0,0,boundary
57,2.25,-0.75,,1004.75,0,37799.9,,0,0,,0,0,boundary
58,2.75,-0.75,,1004.65,0,36992,,0,0,,0,0,boundary
59,3.25,-0.75,,1004.65,0,36993.5,,0,0,,0,0,boundary
60,3.75,-0.75,,1004.76,0,37912.5,,0,0,,0,0,boundary
61,4.25,-0.75,,1004.87,0,38792.6,,0,0,,0,0,boundary
62,4.75,-0.75,,1004.98,0,39704.6,,0,0,,0,0,boundary
63,5.25,-0.75,,1005.14,0,40960,,0,0,,0,0,boundary
64,5.75,-0.75,,1005.38,0,42923.9,,0,0,,0,0,boundary
65,6.25,-0.75,,1005.65,0,45129.9,,0,0,,0,0,boundary
66,6.75,-0.75,,1005.8,0,46342.5,,0,0,,0,0,boundary
67,7.25,-0.75,,1005.76,0,45998.1,,0,0,,0,0,boundary
68,7.75,-0.75,,1005.52,0,44038,,0,0,,0,0,boundary
69,8.25,-0.75,,1005.11,0,40761.5,,0,0,,0,0,boundary
70,8.75,-0.75,,1004.7,0,37424,,0,0,,0,0,boundary
71,9.25,-0.75,,1004.38,0,34860.6,,0,0,,0,0,boundary
72,9.75,-0.75,,1004.15,0,32958.6,,0,0,,0,0,boundary
73,10.25,-0.75,,1003.96,0,31443.9,,0,0,,0,0,boundary
74,10.75,-0.75,,1003.85,0,30534.7,,0,0,,0,0,boundary
75,11.25,-0.75,,1003.75,0,29755.9,,0,0,,0,0,boundary
76,11.75,-0.75,,1003.62,0,28733.5,,0,0,,0,0,boundary
77,12.25,-0.75,,1003.47,0,27511,,0,0,,0,0,boundary
78,12.75,-0.75,,1003.38,0,26795.3,,0,0,,0,0,boundary
79,13.25,-0.75,,1003.32,0,26328.4,,0,0,,0,0,boundary
80,13.75,-0.75,,1003.23,0,25636,,0,0,,0,0,boundary
81,14.25,-0.75,,1003.18,0,25218.6,,0,0,,0,0,boundary
82,14.75,-0.75,,1003.11,0,24676,,0,0,,0,0,boundary
83,15.25,-0.75,,1003.04,0,24081,,0,0,,0,0,boundary
84,15.75,-0.75,,1002.98,0,23569.7,,0,0,,0,0,boundary
85,16.25,-0.75,,1002.92,0,23148.8,,0,0,,0,0,boundary
86,16.75,-0.75,,1002.87,0,22743.9,,0,0,,0,0,boundary
87,17.25,-0.75,,1002.83,0,22389.5,,0,0,,0,0,boundary
88,17.75,-0.75,,1002.8,0,22152.7,,0,0,,0,0,boundary
89,18.25,-0.75,,1002.77,0,21907.8,,0,0,,0,0,boundary
90,18.75,-0.75,,1002.75,0,21735.5,,0,0,,0,0,boundary
91,19.25,-0.75,,1002.73,0,21604.2,,0,0,,0,0,boundary
92,19.75,-0.75,,1002.72,0,21512.4,,0,0,,0,0,boundary
93,20.25,-0.75,,1002.73,0,21562.7,,0,0,,0,0,boundary
94,20.75,-0.75,,1002.73,0,21578.8,,0,0,,0,0,boundary
95,21.25,-0.75,,1002.71,0,21418.7,,0,0,,0,0,boundary
96,21.75,-0.75,,1002.66,0,21082,,0,0,,0,0,boundary
97,22.25,-0.75,,1002.63,0,20774.4,,0,0,,0,0,boundary
98,22.75,-0.75,,1002.58,0,20390.9,,0,0,,0,0,boundary
99,23.25,-0.75,,1002.52,0,19922.8,,0,0,,0,0,boundary
100,23.75,-0.75,,1002.54,0,20072.2,,0,0,,0,0,boundary
101,24.25,-0.75,,1002.66,0,21039,,0,0,,0,0,boundary
102,24.75,-0.75,,1002.43,0,19203.9,,0,0,,0,0,boundary
103,25.25,-0.75,,1002.12,0,16758.3,,0,0,,0,0,boundary
104,25.75,-0.75,,1002.98,0,23582.2,,0,0,,0,0,boundary
105,26.25,-0.75,,1002.87,0,22755.8,,0,0,,0,0,boundary
106,0.25,-1.25,,1005.22,0,41646.6,,0,0,,0,0,boundary
107,0.75,-1.25,,1005.29,0,42190.7,,0,0,,0,0,boundary
108,1.25,-1.25,,1005.39,0,43023.5,,0,0,,0,0,boundary
109,1.75,-1.25,,1005.46,0,43563.2,,0,0,,0,0,boundary
110,2.25,-1.25,,1005.4,0,43097.4,,0,0,,0,0,boundary
111,2.75,-1.25,,1005.28,0,42107.9,,0,0,,0,0,boundary
112,3.25,-1.25,,1005.27,0,42019.8,,0,0,,0,0,boundary
113,3.75,-1.25,,1005.25,0,41857,,0,0,,0,0,boundary
114,4.25,-1.25,,1005.26,0,41934.6,,0,0,,0,0,boundary
115,4.75,-1.25,,1005.4,0,43080.2,,0,0,,0,0,boundary
116,5.25,-1.25,,1005.74,0,45854.7,,0,0,,0,0,boundary
117,5.75,-1.25,,1006.15,0,49199.6,,0,0,,0,0,boundary
118,6.25,-1.25,,1006.44,0,51529.8,,0,0,,0,0,boundary
119,6.75,-1.25,,1006.54,0,52316.4,,0,0,,0,0,boundary
120,7.25,-1.25,,1006.32,0,50558,,0,0,,0,0,boundary
121,7.75,-1.25,,1005.83,0,46579.6,,0,0,,0,0,boundary
122,8.25,-1.25,,1005.27,0,42041,,0,0,,0,0,boundary
123,8.75,-1.25,,1004.84,0,38579.7,,0,0,,0,0,boundary
124,9.25,-1.25,,1004.58,0,36438.5,,0,0,,0,0,boundary
125,9.75,-1.25,,1004.38,0,34866.4,,0,0,,0,0,boundary
126,10.25,-1.25,,1004.28,0,33989.7,,0,0,,0,0,boundary
