h/dp :,2
L2norm Pressure,KE,dp,Nparticles
701006,189875,0.5,480

t,16
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1004.46,0,35485.6,,0,0,,0,0,boundary
1,0.75,-0.25,,1004.55,0,36178.6,,0,0,,0,0,boundary
2,1.25,-0.25,,1004.68,0,37214.5,,0,0,,0,0,boundary
3,1.75,-0.25,,1004.8,0,38197.7,,0,0,,0,0,boundary
4,2.25,-0.25,,1004.85,0,38601,,0,0,,0,0,boundary
5,2.75,-0.25,,1004.81,0,38261.9,,0,0,,0,0,boundary
6,3.25,-0.25,,1004.7,0,37394.9,,0,0,,0,0,boundary
7,3.75,-0.25,,1004.6,0,36635.8,,0,0,,0,0,boundary
8,4.25,-0.25,,1004.61,0,36660.5,,0,0,,0,0,boundary
9,4.75,-0.25,,1004.74,0,37730.3,,0,0,,0,0,boundary
10,5.25,-0.25,,1004.96,0,39475.5,,0,0,,0,0,boundary
11,5.75,-0.25,,1005.19,0,41359.5,,0,0,,0,0,boundary
12,6.25,-0.25,,1005.35,0,42676,,0,0,,0,0,boundary
13,6.75,-0.25,,1005.34,0,42601.5,,0,0,,0,0,boundary
14,7.25,-0.25,,1005.12,0,40776,,0,0,,0,0,boundary
15,7.75,-0.25,,1004.74,0,37766.6,,0,0,,0,0,boundary
16,8.25,-0.25,,1004.34,0,34520.3,,0,0,,0,0,boundary
17,8.75,-0.25,,1004,0,31755.2,,0,0,,0,0,boundary
18,9.25,-0.25,,1003.75,0,29760.3,,0,0,,0,0,boundary
19,9.75,-0.25,,1003.58,0,28428.9,,0,0,,0,0,boundary
20,10.25,-0.25,,1003.47,0,27516.9,,0,0,,0,0,boundary
21,10.75,-0.25,,1003.37,0,26727.3,,0,0,,0,0,boundary
22,11.25,-0.25,,1003.27,0,25918.4,,0,0,,0,0,boundary
23,11.75,-0.25,,1003.17,0,25088,,0,0,,0,0,boundary
24,12.25,-0.25,,1003.07,0,24354.3,,0,0,,0,0,boundary
25,12.75,-0.25,,1003,0,23735,,0,0,,0,0,boundary
26,13.25,-0.25,,1002.92,0,23145.3,,0,0,,0,0,boundary
27,13.75,-0.25,,1002.84,0,22477.9,,0,0,,0,0,boundary
28,14.25,-0.25,,1002.76,0,21825.7,,0,0,,0,0,boundary
29,14.75,-0.25,,1002.69,0,21313.5,,0,0,,0,0,boundary
30,15.25,-0.25,,1002.64,0,20855.9,,0,0,,0,0,boundary
31,15.75,-0.25,,1002.58,0,20381,,0,0,,0,0,boundary
32,16.25,-0.25,,1002.52,0,19912.4,,0,0,,0,0,boundary
33,16.75,-0.25,,1002.46,0,19481.6,,0,0,,0,0,boundary
34,17.25,-0.25,,1002.42,0,19108.7,,0,0,,0,0,boundary
35,17.75,-0.25,,1002.38,0,18848.7,,0,0,,0,0,boundary
36,18.25,-0.25,,1002.36,0,18677.2,,0,0,,0,0,boundary
37,18.75,-0.25,,1002.34,0,18526.2,,0,0,,0,0,boundary
38,19.25,-0.25,,1002.32,0,18336.9,,0,0,,0,0,boundary
39,19.75,-0.25,,1002.3,0,18144.7,,0,0,,0,0,boundary
40,20.25,-0.25,,1002.27,0,17959,,0,0,,0,0,boundary
41,20.75,-0.25,,1002.25,0,17748.7,,0,0,,0,0,boundary
42,21.25,-0.25,,1002.21,0,17472.8,,0,0,,0,0,boundary
43,21.75,-0.25,,1002.17,0,17124.9,,0,0,,0,0,boundary
44,22.25,-0.25,,1002.12,0,16717.4,,0,0,,0,0,boundary
45,22.75,-0.25,,1002.06,0,16274.8,,0,0,,0,0,boundary
46,23.25,-0.25,,1002.02,0,15918.6,,0,0,,0,0,boundary
47,23.75,-0.25,,1001.97,0,15590.8,,0,0,,0,0,boundary
48,24.25,-0.25,,1001.89,0,14922.9,,0,0,,0,0,boundary
49,24.75,-0.25,,1001.68,0,13235.5,,0,0,,0,0,boundary
50,25.25,-0.25,,1001.47,0,11609.7,,0,0,,0,0,boundary
51,25.75,-0.25,,1001.71,0,13490.9,,0,0,,0,0,boundary
52,26.25,-0.25,,1001.86,0,14672.6,,0,0,,0,0,boundary
53,0.25,-0.75,,1004.98,0,39638.2,,0,0,,0,0,boundary
54,0.75,-0.75,,1005.07,0,40399.3,,0,0,,0,0,boundary
55,1.25,-0.75,,1005.22,0,41601,,0,0,,0,0,boundary
56,1.75,-0.75,,1005.37,0,42789.7,,0,0,,0,0,boundary
57,2.25,-0.75,,1005.43,0,43342.8,,0,0,,0,0,boundary
58,2.75,-0.75,,1005.38,0,42903.7,,0,0,,0,0,boundary
59,3.25,-0.75,,1005.25,0,41841.6,,0,0,,0,0,boundary
60,3.75,-0.75,,1005.13,0,40864.3,,0,0,,0,0,boundary
61,4.25,-0.75,,1005.14,0,40973.9,,0,0,,0,0,boundary
62,4.75,-0.75,,1005.34,0,42556.6,,0,0,,0,0,boundary
63,5.25,-0.75,,1005.64,0,45001.7,,0,0,,0,0,boundary
64,5.75,-0.75,,1005.97,0,47708.7,,0,0,,0,0,boundary
65,6.25,-0.75,,1006.2,0,49610.9,,0,0,,0,0,boundary
66,6.75,-0.75,,1006.22,0,49739,,0,0,,0,0,boundary
67,7.25,-0.75,,1005.97,0,47717.5,,0,0,,0,0,boundary
68,7.75,-0.75,,1005.54,0,44198.4,,0,0,,0,0,boundary
69,8.25,-0.75,,1005.06,0,40348.2,,0,0,,0,0,boundary
70,8.75,-0.75,,1004.65,0,36976.2,,0,0,,0,0,boundary
71,9.25,-0.75,,1004.35,0,34553.2,,0,0,,0,0,boundary
72,9.75,-0.75,,1004.15,0,32972.9,,0,0,,0,0,boundary
73,10.25,-0.75,,1004.01,0,31862.1,,0,0,,0,0,boundary
74,10.75,-0.75,,1003.89,0,30872.1,,0,0,,0,0,boundary
75,11.25,-0.75,,1003.76,0,29818.1,,0,0,,0,0,boundary
76,11.75,-0.75,,1003.62,0,28752.1,,0,0,,0,0,boundary
77,12.25,-0.75,,1003.49,0,27706.8,,0,0,,0,0,boundary
78,12.75,-0.75,,1003.39,0,26858,,0,0,,0,0,boundary
79,13.25,-0.75,,1003.29,0,26113.4,,0,0,,0,0,boundary
80,13.75,-0.75,,1003.2,0,25353,,0,0,,0,0,boundary
81,14.25,-0.75,,1003.12,0,24679.5,,0,0,,0,0,boundary
82,14.75,-0.75,,1003.04,0,24095,,0,0,,0,0,boundary
83,15.25,-0.75,,1002.98,0,23558.2,,0,0,,0,0,boundary
84,15.75,-0.75,,1002.91,0,23052.8,,0,0,,0,0,boundary
85,16.25,-0.75,,1002.85,0,22538.7,,0,0,,0,0,boundary
86,16.75,-0.75,,1002.79,0,22057.8,,0,0,,0,0,boundary
87,17.25,-0.75,,1002.73,0,21629.7,,0,0,,0,0,boundary
88,17.75,-0.75,,1002.7,0,21329.1,,0,0,,0,0,boundary
89,18.25,-0.75,,1002.67,0,21134.4,,0,0,,0,0,boundary
90,18.75,-0.75,,1002.65,0,20985.1,,0,0,,0,0,boundary
91,19.25,-0.75,,1002.63,0,20817.2,,0,0,,0,0,boundary
92,19.75,-0.75,,1002.61,0,20608.9,,0,0,,0,0,boundary
93,20.25,-0.75,,1002.58,0,20423.7,,0,0,,0,0,boundary
94,20.75,-0.75,,1002.55,0,20190.6,,0,0,,0,0,boundary
95,21.25,-0.75,,1002.52,0,19940.4,,0,0,,0,0,boundary
96,21.75,-0.75,,1002.48,0,19604.5,,0,0,,0,0,boundary
97,22.25,-0.75,,1002.43,0,19170.7,,0,0,,0,0,boundary
98,22.75,-0.75,,1002.36,0,18665.2,,0,0,,0,0,boundary
99,23.25,-0.75,,1002.3,0,18211.6,,0,0,,0,0,boundary
100,23.75,-0.75,,1002.25,0,17808.2,,0,0,,0,0,boundary
101,24.25,-0.75,,1002.16,0,17086.3,,0,0,,0,0,boundary
102,24.75,-0.75,,1001.96,0,15481,,0,0,,0,0,boundary
103,25.25,-0.75,,1001.82,0,14352.4,,0,0,,0,0,boundary
104,25.75,-0.75,,1002.06,0,16236.9,,0,0,,0,0,boundary
105,26.25,-0.75,,1002.2,0,17390.1,,0,0,,0,0,boundary
106,0.25,-1.25,,1005.43,0,43346.5,,0,0,,0,0,boundary
107,0.75,-1.25,,1005.52,0,44038.6,,0,0,,0,0,boundary
108,1.25,-1.25,,1005.69,0,45427.7,,0,0,,0,0,boundary
109,1.75,-1.25,,1005.87,0,46899.5,,0,0,,0,0,boundary
110,2.25,-1.25,,1005.97,0,47738.3,,0,0,,0,0,boundary
111,2.75,-1.25,,1005.94,0,47435.8,,0,0,,0,0,boundary
112,3.25,-1.25,,1005.81,0,46388.8,,0,0,,0,0,boundary
113,3.75,-1.25,,1005.71,0,45614.5,,0,0,,0,0,boundary
114,4.25,-1.25,,1005.77,0,46074.9,,0,0,,0,0,boundary
115,4.75,-1.25,,1006.02,0,48081.1,,0,0,,0,0,boundary
116,5.25,-1.25,,1006.44,0,51500.9,,0,0,,0,0,boundary
117,5.75,-1.25,,1006.85,0,54903,,0,0,,0,0,boundary
118,6.25,-1.25,,1007.08,0,56731.9,,0,0,,0,0,boundary
119,6.75,-1.25,,1007,0,56088.3,,0,0,,0,0,boundary
