h/dp :,2
L2norm Pressure,KE,dp,Nparticles
639425,748806,0.5,480

t,16.45
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1004.26,0,33902.4,,0,0,,0,0,boundary
1,0.75,-0.25,,1004.21,0,33489.9,,0,0,,0,0,boundary
2,1.25,-0.25,,1004.14,0,32876,,0,0,,0,0,boundary
3,1.75,-0.25,,1004.06,0,32255.8,,0,0,,0,0,boundary
4,2.25,-0.25,,1003.96,0,31452.9,,0,0,,0,0,boundary
5,2.75,-0.25,,1003.84,0,30523.3,,0,0,,0,0,boundary
6,3.25,-0.25,,1003.73,0,29577.3,,0,0,,0,0,boundary
7,3.75,-0.25,,1003.62,0,28755.3,,0,0,,0,0,boundary
8,4.25,-0.25,,1003.61,0,28637.5,,0,0,,0,0,boundary
9,4.75,-0.25,,1003.72,0,29530,,0,0,,0,0,boundary
10,5.25,-0.25,,1003.91,0,31009.8,,0,0,,0,0,boundary
11,5.75,-0.25,,1004.08,0,32381.8,,0,0,,0,0,boundary
12,6.25,-0.25,,1004.2,0,33394.3,,0,0,,0,0,boundary
13,6.75,-0.25,,1004.26,0,33844.3,,0,0,,0,0,boundary
14,7.25,-0.25,,1004.18,0,33189.8,,0,0,,0,0,boundary
15,7.75,-0.25,,1003.96,0,31460.3,,0,0,,0,0,boundary
16,8.25,-0.25,,1003.68,0,29201.6,,0,0,,0,0,boundary
17,8.75,-0.25,,1003.43,0,27158,,0,0,,0,0,boundary
18,9.25,-0.25,,1003.27,0,25883.6,,0,0,,0,0,boundary
19,9.75,-0.25,,1003.22,0,25478.8,,0,0,,0,0,boundary
20,10.25,-0.25,,1003.21,0,25427.1,,0,0,,0,0,boundary
21,10.75,-0.25,,1003.21,0,25405,,0,0,,0,0,boundary
22,11.25,-0.25,,1003.18,0,25232.1,,0,0,,0,0,boundary
23,11.75,-0.25,,1003.13,0,24817.6,,0,0,,0,0,boundary
24,12.25,-0.25,,1003.07,0,24282.2,,0,0,,0,0,boundary
25,12.75,-0.25,,1003.01,0,23805.7,,0,0,,0,0,boundary
26,13.25,-0.25,,1002.95,0,23343.7,,0,0,,0,0,boundary
