h/dp :,2
L2norm Pressure,KE,dp,Nparticles
117719,85210.8,0.5,480

t,18.08
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1011.68,0,94907.4,,0,0,,0,0,boundary
1,0.75,-0.25,,1008.91,0,71839.5,,0,0,,0,0,boundary
2,1.25,-0.25,,1002.49,0,19669.4,,0,0,,0,0,boundary
3,1.75,-0.25,,1001.05,0,8245.99,,0,0,,0,0,boundary
4,2.25,-0.25,,1005.84,0,46655.5,,0,0,,0,0,boundary
5,2.75,-0.25,,1009.44,0,76223.2,,0,0,,0,0,boundary
6,3.25,-0.25,,1007.5,0,60198.4,,0,0,,0,0,boundary
7,3.75,-0.25,,1003.49,0,27653.7,,0,0,,0,0,boundary
8,4.25,-0.25,,1001.58,0,12430.3,,0,0,,0,0,boundary
9,4.75,-0.25,,1001.53,0,12070.4,,0,0,,0,0,boundary
10,5.25,-0.25,,1001.07,0,8386.87,,0,0,,0,0,boundary
11,5.75,-0.25,,1000.3,0,2345.14,,0,0,,0,0,boundary
12,6.25,-0.25,,1000.7,0,5497.99,,0,0,,0,0,boundary
13,6.75,-0.25,,1001.99,0,15709,,0,0,,0,0,boundary
14,7.25,-0.25,,1003.01,0,23826.5,,0,0,,0,0,boundary
15,7.75,-0.25,,1003.39,0,26850.6,,0,0,,0,0,boundary
16,8.25,-0.25,,1003.69,0,29318.4,,0,0,,0,0,boundary
17,8.75,-0.25,,1004.26,0,33871.4,,0,0,,0,0,boundary
18,9.25,-0.25,,1004.86,0,38734.4,,0,0,,0,0,boundary
19,9.75,-0.25,,1005.17,0,41187.8,,0,0,,0,0,boundary
20,10.25,-0.25,,1005.22,0,41628.7,,0,0,,0,0,boundary
21,10.75,-0.25,,1005.17,0,41202,,0,0,,0,0,boundary
22,11.25,-0.25,,1004.97,0,39626.7,,0,0,,0,0,boundary
23,11.75,-0.25,,1004.69,0,37350.2,,0,0,,0,0,boundary
24,12.25,-0.25,,1004.4,0,35009.7,,0,0,,0,0,boundary
25,12.75,-0.25,,1004.12,0,32759.2,,0,0,,0,0,boundary
26,13.25,-0.25,,1003.89,0,30858,,0,0,,0,0,boundary
27,13.75,-0.25,,1003.63,0,28838.7,,0,0,,0,0,boundary
28,14.25,-0.25,,1003.49,0,27645.8,,0,0,,0,0,boundary
29,14.75,-0.25,,1003.38,0,26827.9,,0,0,,0,0,boundary
30,15.25,-0.25,,1003.37,0,26748.9,,0,0,,0,0,boundary
31,15.75,-0.25,,1003.43,0,27181.7,,0,0,,0,0,boundary
32,16.25,-0.25,,1003.51,0,27863.2,,0,0,,0,0,boundary
33,16.75,-0.25,,1003.61,0,28647.9,,0,0,,0,0,boundary
34,17.25,-0.25,,1003.75,0,29758.2,,0,0,,0,0,boundary
35,17.75,-0.25,,1003.75,0,29746.6,,0,0,,0,0,boundary
36,18.25,-0.25,,1003.67,0,29087.8,,0,0,,0,0,boundary
37,18.75,-0.25,,1003.95,0,31355,,0,0,,0,0,boundary
38,19.25,-0.25,,1004.29,0,34097.9,,0,0,,0,0,boundary
39,19.75,-0.25,,1004.31,0,34230,,0,0,,0,0,boundary
40,20.25,-0.25,,1003.86,0,30664.4,,0,0,,0,0,boundary
41,20.75,-0.25,,1003.84,0,30469.6,,0,0,,0,0,boundary
42,21.25,-0.25,,1004.18,0,33181,,0,0,,0,0,boundary
43,21.75,-0.25,,1004.45,0,35364.4,,0,0,,0,0,boundary
44,22.25,-0.25,,1004.17,0,33113,,0,0,,0,0,boundary
45,22.75,-0.25,,1003.39,0,26903.8,,0,0,,0,0,boundary
46,23.25,-0.25,,1003.86,0,30616,,0,0,,0,0,boundary
47,23.75,-0.25,,1004.88,0,38887.6,,0,0,,0,0,boundary
48,24.25,-0.25,,1005.85,0,46712.8,,0,0,,0,0,boundary
49,24.75,-0.25,,1003.94,0,31259.5,,0,0,,0,0,boundary
50,0.25,-0.75,,1009.58,0,77345.2,,0,0,,0,0,boundary
51,0.75,-0.75,,1036.67,0,321487,,0,0,,0,0,boundary
52,1.25,-0.75,,1017.57,0,145413,,0,0,,0,0,boundary
53,1.75,-0.75,,1009.43,0,76108.5,,0,0,,0,0,boundary
54,2.25,-0.75,,1012.29,0,100077,,0,0,,0,0,boundary
55,2.75,-0.75,,1014.74,0,120886,,0,0,,0,0,boundary
56,3.25,-0.75,,1010.65,0,86291.2,,0,0,,0,0,boundary
57,3.75,-0.75,,1004.56,0,36254.6,,0,0,,0,0,boundary
58,4.25,-0.75,,1002.08,0,16387.3,,0,0,,0,0,boundary
59,4.75,-0.75,,1002.27,0,17911.4,,0,0,,0,0,boundary
60,5.25,-0.75,,1001.27,0,10026.3,,0,0,,0,0,boundary
61,5.75,-0.75,,999.812,0,-1472.76,,0,0,,0,0,boundary
62,6.25,-0.75,,999.858,0,-1115.92,,0,0,,0,0,boundary
63,6.75,-0.75,,1001.6,0,12626.5,,0,0,,0,0,boundary
64,7.25,-0.75,,1003.1,0,24558.3,,0,0,,0,0,boundary
65,7.75,-0.75,,1003.67,0,29145.5,,0,0,,0,0,boundary
66,8.25,-0.75,,1003.83,0,30407.1,,0,0,,0,0,boundary
67,8.75,-0.75,,1004.43,0,35256.5,,0,0,,0,0,boundary
68,9.25,-0.75,,1005.18,0,41250.6,,0,0,,0,0,boundary
69,9.75,-0.75,,1005.65,0,45131.6,,0,0,,0,0,boundary
70,10.25,-0.75,,1005.81,0,46409.9,,0,0,,0,0,boundary
71,10.75,-0.75,,1005.74,0,45871.3,,0,0,,0,0,boundary
72,11.25,-0.75,,1005.55,0,44256.8,,0,0,,0,0,boundary
73,11.75,-0.75,,1005.2,0,41459.6,,0,0,,0,0,boundary
74,12.25,-0.75,,1004.86,0,38714.8,,0,0,,0,0,boundary
75,12.75,-0.75,,1004.52,0,35988.9,,0,0,,0,0,boundary
76,13.25,-0.75,,1004.14,0,32930.1,,0,0,,0,0,boundary
77,13.75,-0.75,,1003.83,0,30431.8,,0,0,,0,0,boundary
78,14.25,-0.75,,1003.59,0,28511.9,,0,0,,0,0,boundary
79,14.75,-0.75,,1003.45,0,27328.5,,0,0,,0,0,boundary
80,15.25,-0.75,,1003.41,0,27006.7,,0,0,,0,0,boundary
81,15.75,-0.75,,1003.48,0,27568.6,,0,0,,0,0,boundary
82,16.25,-0.75,,1003.6,0,28578.3,,0,0,,0,0,boundary
83,16.75,-0.75,,1003.75,0,29724.3,,0,0,,0,0,boundary
84,17.25,-0.75,,1003.96,0,31440.7,,0,0,,0,0,boundary
85,17.75,-0.75,,1004.09,0,32488.2,,0,0,,0,0,boundary
86,18.25,-0.75,,1004.23,0,33648,,0,0,,0,0,boundary
87,18.75,-0.75,,1004.08,0,32432.7,,0,0,,0,0,boundary
88,19.25,-0.75,,1004.31,0,34296.5,,0,0,,0,0,boundary
89,19.75,-0.75,,1004.47,0,35583.6,,0,0,,0,0,boundary
90,20.25,-0.75,,1004.13,0,32831.3,,0,0,,0,0,boundary
91,20.75,-0.75,,1003.94,0,31311.6,,0,0,,0,0,boundary
92,21.25,-0.75,,1004.17,0,33115,,0,0,,0,0,boundary
93,21.75,-0.75,,1004.15,0,32988.8,,0,0,,0,0,boundary
94,22.25,-0.75,,1003.71,0,29461.8,,0,0,,0,0,boundary
95,22.75,-0.75,,1003.78,0,29985,,0,0,,0,0,boundary
96,23.25,-0.75,,1004.44,0,35306.7,,0,0,,0,0,boundary
97,23.75,-0.75,,1005.49,0,43819.1,,0,0,,0,0,boundary
98,24.25,-0.75,,1006.69,0,53531,,0,0,,0,0,boundary
99,24.75,-0.75,,1007.52,0,60365.6,,0,0,,0,0,boundary
100,0.25,-1.25,,1004.26,0,33897.1,,0,0,,0,0,boundary
101,0.75,-1.25,,1048.45,0,440203,,0,0,,0,0,boundary
102,1.25,-1.25,,1035.49,0,309955,,0,0,,0,0,boundary
103,1.75,-1.25,,1026.28,0,223194,,0,0,,0,0,boundary
104,2.25,-1.25,,1023.46,0,197571,,0,0,,0,0,boundary
105,2.75,-1.25,,1020.32,0,169509,,0,0,,0,0,boundary
106,3.25,-1.25,,1012.44,0,101380,,0,0,,0,0,boundary
107,3.75,-1.25,,1006.35,0,50773.5,,0,0,,0,0,boundary
108,4.25,-1.25,,1006.24,0,49915.5,,0,0,,0,0,boundary
109,4.75,-1.25,,1006.77,0,54210.8,,0,0,,0,0,boundary
110,5.25,-1.25,,1003.01,0,23837.3,,0,0,,0,0,boundary
111,5.75,-1.25,,998.164,0,-14328.2,,0,0,,0,0,boundary
112,6.25,-1.25,,997.059,0,-22879.9,,0,0,,0,0,boundary
113,6.75,-1.25,,999.765,0,-1845.3,,0,0,,0,0,boundary
114,7.25,-1.25,,1002.84,0,22499.3,,0,0,,0,0,boundary
115,7.75,-1.25,,1004.15,0,33001.3,,0,0,,0,0,boundary
116,8.25,-1.25,,1004.48,0,35655.8,,0,0,,0,0,boundary
117,8.75,-1.25,,1005.17,0,41183.7,,0,0,,0,0,boundary
118,9.25,-1.25,,1006.17,0,49287.8,,0,0,,0,0,boundary
119,9.75,-1.25,,1006.92,0,55407.8,,0,0,,0,0,boundary
120,10.25,-1.25,,1007.15,0,57360.5,,0,0,,0,0,boundary
121,10.75,-1.25,,1007.01,0,56214.9,,0,0,,0,0,boundary
122,11.25,-1.25,,1006.62,0,53020.1,,0,0,,0,0,boundary
123,11.75,-1.25,,1006.13,0,49021.2,,0,0,,0,0,boundary
124,12.25,-1.25,,1005.62,0,44849.5,,0,0,,0,0,boundary
125,12.75,-1.25,,1005.17,0,41194.8,,0,0,,0,0,boundary
126,13.25,-1.25,,1004.64,0,36956.3,,0,0,,0,0,boundary
127,13.75,-1.25,,1004.25,0,33755.5,,0,0,,0,0,boundary
128,14.25,-1.25,,1003.89,0,30853,,0,0,,0,0,boundary
129,14.75,-1.25,,1003.71,0,29463.6,,0,0,,0,0,boundary
130,15.25,-1.25,,1003.63,0,28801,,0,0,,0,0,boundary
131,15.75,-1.25,,1003.71,0,29453,,0,0,,0,0,boundary
132,16.25,-1.25,,1003.86,0,30658.2,,0,0,,0,0,boundary
133,16.75,-1.25,,1004.07,0,32343.6,,0,0,,0,0,boundary
134,17.25,-1.25,,1004.33,0,34414.1,,0,0,,0,0,boundary
135,17.75,-1.25,,1004.61,0,36713,,0,0,,0,0,boundary
136,18.25,-1.25,,1004.85,0,38641,,0,0,,0,0,boundary
137,18.75,-1.25,,1004.83,0,38480.6,,0,0,,0,0,boundary
138,19.25,-1.25,,1004.88,0,38854.1,,0,0,,0,0,boundary
139,19.75,-1.25,,1004.87,0,38799.2,,0,0,,0,0,boundary
140,20.25,-1.25,,1004.85,0,38615.5,,0,0,,0,0,boundary
141,20.75,-1.25,,1004.86,0,38723.8,,0,0,,0,0,boundary
142,21.25,-1.25,,1004.81,0,38309.4,,0,0,,0,0,boundary
143,21.75,-1.25,,1004.9,0,39009.8,,0,0,,0,0,boundary
144,22.25,-1.25,,1004.91,0,39102.5,,0,0,,0,0,boundary
145,22.75,-1.25,,1004.8,0,38182.5,,0,0,,0,0,boundary
146,23.25,-1.25,,1004.85,0,38638.1,,0,0,,0,0,boundary
147,23.75,-1.25,,1005.49,0,43835.8,,0,0,,0,0,boundary
148,24.25,-1.25,,1006.72,0,53831.6,,0,0,,0,0,boundary
149,24.75,-1.25,,1008.37,0,67396.7,,0,0,,0,0,boundary
150,25.25,-1.5,,1004.85,0,38596.6,,0,0,,0,0,boundary
151,25.25,-1,,1004.49,0,35710.3,,0,0,,0,0,boundary
152,25.25,-0.5,,1004.34,0,34545.6,,0,0,,0,0,boundary
153,25.25,0,,1004.11,0,32669.4,,0,0,,0,0,boundary
154,25.25,0.5,,1003.7,0,29371,,0,0,,0,0,boundary
155,25.25,1,,1005.37,0,42804.1,,0,0,,0,0,boundary
156,25.25,1.5,,1004.08,0,32432.9,,0,0,,0,0,boundary
157,25.25,2,,1002.04,0,16124.9,,0,0,,0,0,boundary
158,25.25,2.5,,1000.73,0,5779.69,,0,0,,0,0,boundary
159,25.25,3,,1000.59,0,4618.27,,0,0,,0,0,boundary
160,25.25,3.5,,1000.53,0,4181.32,,0,0,,0,0,boundary
161,25.25,4,,1000.5,0,3953.68,,0,0,,0,0,boundary
162,25.25,4.5,,1000,0,0,,0,0,,0,0,boundary
163,25.25,5,,1000,0,0,,0,0,,0,0,boundary
164,25.25,5.5,,1000,0,0,,0,0,,0,0,boundary
165,25.25,6,,1000,0,0,,0,0,,0,0,boundary
166,25.25,6.5,,1000,0,0,,0,0,,0,0,boundary
167,25.25,7,,1000,0,0,,0,0,,0,0,boundary
168,25.25,7.5,,1000,0,0,,0,0,,0,0,boundary
169,25.25,8,,1000,0,0,,0,0,,0,0,boundary
170,25.25,8.5,,1000,0,0,,0,0,,0,0,boundary
171,25.25,9,,1000,0,0,,0,0,,0,0,boundary
172,25.25,9.5,,1000,0,0,,0,0,,0,0,boundary
173,25.75,-1.5,,1003.81,0,30263.7,,0,0,,0,0,boundary
174,25.75,-1,,1004.09,0,32455,,0,0,,0,0,boundary
175,25.75,-0.5,,1003.94,0,31297.4,,0,0,,0,0,boundary
176,25.75,0,,1003.65,0,28994.4,,0,0,,0,0,boundary
177,25.75,0.5,,1006.15,0,49167.9,,0,0,,0,0,boundary
178,25.75,1,,1004.94,0,39349,,0,0,,0,0,boundary
179,25.75,1.5,,1003.23,0,25592.7,,0,0,,0,0,boundary
180,25.75,2,,1001.36,0,10752,,0,0,,0,0,boundary
181,25.75,2.5,,1000.29,0,2243.43,,0,0,,0,0,boundary
182,25.75,3,,1000.6,0,4753.98,,0,0,,0,0,boundary
183,25.75,3.5,,1000.54,0,4233.47,,0,0,,0,0,boundary
184,25.75,4,,1000.49,0,3860.13,,0,0,,0,0,boundary
