h/dp :,2
L2norm Pressure,KE,dp,Nparticles
34803.1,22862.9,0.5,480

t,19.06
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1006.3,0,50409.1,,0,0,,0,0,boundary
1,0.75,-0.25,,1004.59,0,36494.3,,0,0,,0,0,boundary
2,1.25,-0.25,,1003.05,0,24121.9,,0,0,,0,0,boundary
3,1.75,-0.25,,1003.01,0,23832.5,,0,0,,0,0,boundary
4,2.25,-0.25,,1004.87,0,38798.6,,0,0,,0,0,boundary
5,2.75,-0.25,,1005.98,0,47743.6,,0,0,,0,0,boundary
6,3.25,-0.25,,1005.82,0,46451.6,,0,0,,0,0,boundary
7,3.75,-0.25,,1005.08,0,40493.8,,0,0,,0,0,boundary
8,4.25,-0.25,,1004.51,0,35885.4,,0,0,,0,0,boundary
9,4.75,-0.25,,1004.41,0,35052.9,,0,0,,0,0,boundary
10,5.25,-0.25,,1004.43,0,35239,,0,0,,0,0,boundary
11,5.75,-0.25,,1004.34,0,34487.2,,0,0,,0,0,boundary
12,6.25,-0.25,,1004.21,0,33484.2,,0,0,,0,0,boundary
13,6.75,-0.25,,1004.15,0,32989.5,,0,0,,0,0,boundary
14,7.25,-0.25,,1004.15,0,33009.2,,0,0,,0,0,boundary
15,7.75,-0.25,,1004.21,0,33446.9,,0,0,,0,0,boundary
16,8.25,-0.25,,1004.29,0,34136.1,,0,0,,0,0,boundary
17,8.75,-0.25,,1004.36,0,34675.2,,0,0,,0,0,boundary
18,9.25,-0.25,,1004.38,0,34845.1,,0,0,,0,0,boundary
19,9.75,-0.25,,1004.34,0,34544.3,,0,0,,0,0,boundary
20,10.25,-0.25,,1004.29,0,34097.5,,0,0,,0,0,boundary
21,10.75,-0.25,,1004.25,0,33787.2,,0,0,,0,0,boundary
22,11.25,-0.25,,1004.21,0,33475.7,,0,0,,0,0,boundary
23,11.75,-0.25,,1004.19,0,33302,,0,0,,0,0,boundary
24,12.25,-0.25,,1004.18,0,33178.7,,0,0,,0,0,boundary
25,12.75,-0.25,,1004.15,0,32981,,0,0,,0,0,boundary
26,13.25,-0.25,,1004.16,0,33098,,0,0,,0,0,boundary
27,13.75,-0.25,,1004.14,0,32928.1,,0,0,,0,0,boundary
28,14.25,-0.25,,1004.15,0,33006.9,,0,0,,0,0,boundary
