h/dp :,2
L2norm Pressure,KE,dp,Nparticles
31505.4,11564.2,0.5,480

t,9
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1004.35,0,34606.6,,0,0,,0,0,boundary
1,0.75,-0.25,,1004.34,0,34515.4,,0,0,,0,0,boundary
2,1.25,-0.25,,1004.2,0,33420,,0,0,,0,0,boundary
3,1.75,-0.25,,1004.04,0,32076.8,,0,0,,0,0,boundary
4,2.25,-0.25,,1004,0,31796.6,,0,0,,0,0,boundary
5,2.75,-0.25,,1004.12,0,32730.7,,0,0,,0,0,boundary
6,3.25,-0.25,,1004.24,0,33741.2,,0,0,,0,0,boundary
7,3.75,-0.25,,1004.26,0,33873.1,,0,0,,0,0,boundary
8,4.25,-0.25,,1004.18,0,33208.7,,0,0,,0,0,boundary
9,4.75,-0.25,,1004.09,0,32532.6,,0,0,,0,0,boundary
10,5.25,-0.25,,1004.06,0,32269.1,,0,0,,0,0,boundary
11,5.75,-0.25,,1004.08,0,32453.7,,0,0,,0,0,boundary
12,6.25,-0.25,,1004.14,0,32922.8,,0,0,,0,0,boundary
13,6.75,-0.25,,1004.22,0,33562,,0,0,,0,0,boundary
14,7.25,-0.25,,1004.32,0,34342,,0,0,,0,0,boundary
15,7.75,-0.25,,1004.42,0,35175.2,,0,0,,0,0,boundary
16,8.25,-0.25,,1004.5,0,35832,,0,0,,0,0,boundary
17,8.75,-0.25,,1004.53,0,36059.3,,0,0,,0,0,boundary
18,9.25,-0.25,,1004.51,0,35884.7,,0,0,,0,0,boundary
19,9.75,-0.25,,1004.45,0,35379.4,,0,0,,0,0,boundary
20,10.25,-0.25,,1004.38,0,34794.4,,0,0,,0,0,boundary
21,10.75,-0.25,,1004.3,0,34200.6,,0,0,,0,0,boundary
22,11.25,-0.25,,1004.25,0,33774.2,,0,0,,0,0,boundary
23,11.75,-0.25,,1004.22,0,33572.4,,0,0,,0,0,boundary
24,12.25,-0.25,,1004.19,0,33292,,0,0,,0,0,boundary
25,12.75,-0.25,,1004.15,0,32998.9,,0,0,,0,0,boundary
26,13.25,-0.25,,1004.14,0,32932,,0,0,,0,0,boundary
27,13.75,-0.25,,1004.11,0,32639.8,,0,0,,0,0,boundary
28,14.25,-0.25,,1004.08,0,32450.3,,0,0,,0,0,boundary
29,14.75,-0.25,,1004.08,0,32385.8,,0,0,,0,0,boundary
30,15.25,-0.25,,1004.08,0,32383.8,,0,0,,0,0,boundary
31,15.75,-0.25,,1004.1,0,32538.8,,0,0,,0,0,boundary
32,16.25,-0.25,,1004.05,0,32137.1,,0,0,,0,0,boundary
33,16.75,-0.25,,1004.06,0,32238.2,,0,0,,0,0,boundary
34,17.25,-0.25,,1004.09,0,32532.4,,0,0,,0,0,boundary
35,17.75,-0.25,,1003.82,0,30315.4,,0,0,,0,0,boundary
36,18.25,-0.25,,1003.81,0,30269.6,,0,0,,0,0,boundary
37,18.75,-0.25,,1004.08,0,32421.7,,0,0,,0,0,boundary
38,19.25,-0.25,,1004.42,0,35135.9,,0,0,,0,0,boundary
39,19.75,-0.25,,1003.93,0,31174.4,,0,0,,0,0,boundary
40,20.25,-0.25,,1003.47,0,27488.2,,0,0,,0,0,boundary
41,20.75,-0.25,,1003.74,0,29711.3,,0,0,,0,0,boundary
42,21.25,-0.25,,1004.25,0,33804.2,,0,0,,0,0,boundary
43,21.75,-0.25,,1004.19,0,33327.5,,0,0,,0,0,boundary
44,22.25,-0.25,,1003.35,0,26536.6,,0,0,,0,0,boundary
45,22.75,-0.25,,1003.43,0,27216,,0,0,,0,0,boundary
46,23.25,-0.25,,1004.91,0,39092.5,,0,0,,0,0,boundary
47,23.75,-0.25,,1006.05,0,48389.8,,0,0,,0,0,boundary
48,24.25,-0.25,,1006.2,0,49582.6,,0,0,,0,0,boundary
49,24.75,-0.25,,1003.43,0,27168.7,,0,0,,0,0,boundary
50,0.25,-0.75,,1004.99,0,39741.1,,0,0,,0,0,boundary
51,0.75,-0.75,,1004.96,0,39472.4,,0,0,,0,0,boundary
52,1.25,-0.75,,1004.83,0,38457.6,,0,0,,0,0,boundary
53,1.75,-0.75,,1004.66,0,37072.6,,0,0,,0,0,boundary
54,2.25,-0.75,,1004.63,0,36868.4,,0,0,,0,0,boundary
55,2.75,-0.75,,1004.8,0,38189.5,,0,0,,0,0,boundary
56,3.25,-0.75,,1004.96,0,39509.2,,0,0,,0,0,boundary
57,3.75,-0.75,,1004.96,0,39509.1,,0,0,,0,0,boundary
58,4.25,-0.75,,1004.83,0,38486.3,,0,0,,0,0,boundary
59,4.75,-0.75,,1004.71,0,37504.6,,0,0,,0,0,boundary
60,5.25,-0.75,,1004.63,0,36838.8,,0,0,,0,0,boundary
61,5.75,-0.75,,1004.59,0,36496.2,,0,0,,0,0,boundary
62,6.25,-0.75,,1004.56,0,36276.1,,0,0,,0,0,boundary
63,6.75,-0.75,,1004.55,0,36171.1,,0,0,,0,0,boundary
64,7.25,-0.75,,1004.54,0,36113.2,,0,0,,0,0,boundary
65,7.75,-0.75,,1004.55,0,36202.2,,0,0,,0,0,boundary
66,8.25,-0.75,,1004.57,0,36343.6,,0,0,,0,0,boundary
67,8.75,-0.75,,1004.58,0,36411.3,,0,0,,0,0,boundary
68,9.25,-0.75,,1004.59,0,36508.5,,0,0,,0,0,boundary
69,9.75,-0.75,,1004.62,0,36786.9,,0,0,,0,0,boundary
70,10.25,-0.75,,1004.67,0,37158,,0,0,,0,0,boundary
71,10.75,-0.75,,1004.69,0,37356.4,,0,0,,0,0,boundary
72,11.25,-0.75,,1004.74,0,37769.7,,0,0,,0,0,boundary
73,11.75,-0.75,,1004.75,0,37815.8,,0,0,,0,0,boundary
74,12.25,-0.75,,1004.78,0,38074.1,,0,0,,0,0,boundary
75,12.75,-0.75,,1004.8,0,38235.1,,0,0,,0,0,boundary
76,13.25,-0.75,,1004.81,0,38292.4,,0,0,,0,0,boundary
77,13.75,-0.75,,1004.82,0,38380.8,,0,0,,0,0,boundary
78,14.25,-0.75,,1004.8,0,38189.3,,0,0,,0,0,boundary
79,14.75,-0.75,,1004.77,0,38010.5,,0,0,,0,0,boundary
80,15.25,-0.75,,1004.73,0,37646.2,,0,0,,0,0,boundary
81,15.75,-0.75,,1004.68,0,37220.5,,0,0,,0,0,boundary
82,16.25,-0.75,,1004.62,0,36761.4,,0,0,,0,0,boundary
83,16.75,-0.75,,1004.5,0,35771.8,,0,0,,0,0,boundary
84,17.25,-0.75,,1004.53,0,36024,,0,0,,0,0,boundary
85,17.75,-0.75,,1004.54,0,36141.7,,0,0,,0,0,boundary
86,18.25,-0.75,,1004.27,0,33939.8,,0,0,,0,0,boundary
87,18.75,-0.75,,1004.07,0,32296.2,,0,0,,0,0,boundary
88,19.25,-0.75,,1004.38,0,34828.8,,0,0,,0,0,boundary
89,19.75,-0.75,,1004.35,0,34564.7,,0,0,,0,0,boundary
90,20.25,-0.75,,1003.81,0,30229.6,,0,0,,0,0,boundary
91,20.75,-0.75,,1003.68,0,29218.9,,0,0,,0,0,boundary
92,21.25,-0.75,,1003.73,0,29579.2,,0,0,,0,0,boundary
93,21.75,-0.75,,1003.67,0,29120.3,,0,0,,0,0,boundary
94,22.25,-0.75,,1003.26,0,25812.1,,0,0,,0,0,boundary
95,22.75,-0.75,,1003.97,0,31514.7,,0,0,,0,0,boundary
96,23.25,-0.75,,1005.14,0,40992,,0,0,,0,0,boundary
97,23.75,-0.75,,1006.29,0,50327.6,,0,0,,0,0,boundary
98,24.25,-0.75,,1006.65,0,53204.3,,0,0,,0,0,boundary
99,24.75,-0.75,,1006.93,0,55541.1,,0,0,,0,0,boundary
100,0.25,-1.25,,1005.46,0,43561.4,,0,0,,0,0,boundary
101,0.75,-1.25,,1005.34,0,42593.7,,0,0,,0,0,boundary
102,1.25,-1.25,,1005.15,0,41037.8,,0,0,,0,0,boundary
103,1.75,-1.25,,1005.06,0,40317.4,,0,0,,0,0,boundary
104,2.25,-1.25,,1005.23,0,41673.4,,0,0,,0,0,boundary
105,2.75,-1.25,,1005.59,0,44628.3,,0,0,,0,0,boundary
106,3.25,-1.25,,1005.87,0,46892.9,,0,0,,0,0,boundary
107,3.75,-1.25,,1005.95,0,47498.5,,0,0,,0,0,boundary
108,4.25,-1.25,,1005.89,0,47010.7,,0,0,,0,0,boundary
109,4.75,-1.25,,1005.79,0,46247.3,,0,0,,0,0,boundary
110,5.25,-1.25,,1005.69,0,45410,,0,0,,0,0,boundary
