h/dp :,2
L2norm Pressure,KE,dp,Nparticles
36671.9,108904,0.5,448

t,11
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,-1.25,-0.25,,1003.82,0,30352.4,,0,0,,0,0,boundary
1,-0.75,-0.25,,1003.73,0,29585.2,,0,0,,0,0,boundary
2,-0.25,-0.25,,1003.78,0,29984.7,,0,0,,0,0,boundary
3,0.25,-0.25,,1003.83,0,30382.6,,0,0,,0,0,boundary
4,0.75,-0.25,,1003.9,0,31005.3,,0,0,,0,0,boundary
5,1.25,-0.25,,1003.97,0,31526,,0,0,,0,0,boundary
6,1.75,-0.25,,1004.04,0,32128.3,,0,0,,0,0,boundary
7,2.25,-0.25,,1004.17,0,33102.4,,0,0,,0,0,boundary
8,2.75,-0.25,,1004.27,0,33929.9,,0,0,,0,0,boundary
9,3.25,-0.25,,1004.3,0,34147.2,,0,0,,0,0,boundary
10,3.75,-0.25,,1004.38,0,34837.7,,0,0,,0,0,boundary
11,4.25,-0.25,,1004.55,0,36212.9,,0,0,,0,0,boundary
12,4.75,-0.25,,1004.55,0,36190.6,,0,0,,0,0,boundary
13,5.25,-0.25,,1004.53,0,36020.2,,0,0,,0,0,boundary
14,5.75,-0.25,,1004.64,0,36936.1,,0,0,,0,0,boundary
15,6.25,-0.25,,1004.66,0,37055.1,,0,0,,0,0,boundary
16,6.75,-0.25,,1004.63,0,36841.4,,0,0,,0,0,boundary
17,7.25,-0.25,,1004.67,0,37193.5,,0,0,,0,0,boundary
18,7.75,-0.25,,1004.71,0,37524,,0,0,,0,0,boundary
19,8.25,-0.25,,1004.65,0,37021.6,,0,0,,0,0,boundary
20,8.75,-0.25,,1004.61,0,36654.2,,0,0,,0,0,boundary
21,9.25,-0.25,,1004.71,0,37524.9,,0,0,,0,0,boundary
22,9.75,-0.25,,1004.91,0,39077.8,,0,0,,0,0,boundary
23,10.25,-0.25,,1004.95,0,39462.5,,0,0,,0,0,boundary
24,10.75,-0.25,,1005.06,0,40344,,0,0,,0,0,boundary
25,11.25,-0.25,,1005.08,0,40492.3,,0,0,,0,0,boundary
26,11.75,-0.25,,1005.06,0,40316.4,,0,0,,0,0,boundary
27,12.25,-0.25,,1005.17,0,41230.4,,0,0,,0,0,boundary
28,12.75,-0.25,,1005.38,0,42946.5,,0,0,,0,0,boundary
29,13.25,-0.25,,1005.39,0,42980.2,,0,0,,0,0,boundary
30,13.75,-0.25,,1005.26,0,41911.6,,0,0,,0,0,boundary
31,14.25,-0.25,,1005.2,0,41480.6,,0,0,,0,0,boundary
32,14.75,-0.25,,1005.25,0,41895.4,,0,0,,0,0,boundary
33,15.25,-0.25,,1005.36,0,42723.4,,0,0,,0,0,boundary
