h/dp :,2
L2norm Pressure,KE,dp,Nparticles
37498.8,105265,0.5,448

t,16.61
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,-1.25,-0.25,,1008.07,0,64857.3,,0,0,,0,0,boundary
1,-0.75,-0.25,,1007.89,0,63367,,0,0,,0,0,boundary
2,-0.25,-0.25,,1007.85,0,63089.8,,0,0,,0,0,boundary
3,0.25,-0.25,,1007.86,0,63119.2,,0,0,,0,0,boundary
4,0.75,-0.25,,1007.82,0,62808.1,,0,0,,0,0,boundary
5,1.25,-0.25,,1007.69,0,61800.5,,0,0,,0,0,boundary
6,1.75,-0.25,,1007.5,0,60220.1,,0,0,,0,0,boundary
7,2.25,-0.25,,1007.37,0,59119,,0,0,,0,0,boundary
8,2.75,-0.25,,1007.29,0,58457,,0,0,,0,0,boundary
9,3.25,-0.25,,1007.16,0,57432.6,,0,0,,0,0,boundary
10,3.75,-0.25,,1007,0,56109.7,,0,0,,0,0,boundary
11,4.25,-0.25,,1006.86,0,54985.5,,0,0,,0,0,boundary
12,4.75,-0.25,,1006.76,0,54105.8,,0,0,,0,0,boundary
13,5.25,-0.25,,1006.61,0,52950.3,,0,0,,0,0,boundary
14,5.75,-0.25,,1006.42,0,51344.6,,0,0,,0,0,boundary
15,6.25,-0.25,,1006.23,0,49838.7,,0,0,,0,0,boundary
16,6.75,-0.25,,1006.15,0,49186,,0,0,,0,0,boundary
17,7.25,-0.25,,1006.18,0,49385.6,,0,0,,0,0,boundary
18,7.75,-0.25,,1006.3,0,50405.9,,0,0,,0,0,boundary
19,8.25,-0.25,,1006.35,0,50766,,0,0,,0,0,boundary
20,8.75,-0.25,,1006.22,0,49755.5,,0,0,,0,0,boundary
21,9.25,-0.25,,1005.98,0,47751.2,,0,0,,0,0,boundary
22,9.75,-0.25,,1005.76,0,45974.3,,0,0,,0,0,boundary
23,10.25,-0.25,,1005.62,0,44818.9,,0,0,,0,0,boundary
24,10.75,-0.25,,1005.53,0,44091,,0,0,,0,0,boundary
25,11.25,-0.25,,1005.46,0,43577.2,,0,0,,0,0,boundary
26,11.75,-0.25,,1005.44,0,43379.1,,0,0,,0,0,boundary
27,12.25,-0.25,,1005.44,0,43359.1,,0,0,,0,0,boundary
28,12.75,-0.25,,1005.44,0,43400.3,,0,0,,0,0,boundary
29,13.25,-0.25,,1005.45,0,43515,,0,0,,0,0,boundary
30,13.75,-0.25,,1005.49,0,43813.4,,0,0,,0,0,boundary
