h/dp :,2
L2norm Pressure,KE,dp,Nparticles
166359,6.01306e+06,0.5,640

t,15.92
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1001.68,0,13247.3,,0,0,,0,0,boundary
1,0.75,-0.25,,1001.6,0,12608.7,,0,0,,0,0,boundary
2,1.25,-0.25,,1001.55,0,12236.2,,0,0,,0,0,boundary
3,1.75,-0.25,,1001.58,0,12468.8,,0,0,,0,0,boundary
4,2.25,-0.25,,1002.16,0,17047.8,,0,0,,0,0,boundary
5,2.75,-0.25,,1003.83,0,30441.8,,0,0,,0,0,boundary
6,3.25,-0.25,,1004.66,0,37124.9,,0,0,,0,0,boundary
7,3.75,-0.25,,1003.96,0,31467.3,,0,0,,0,0,boundary
8,4.25,-0.25,,1003.4,0,26985.9,,0,0,,0,0,boundary
9,4.75,-0.25,,1003.04,0,24051.8,,0,0,,0,0,boundary
10,5.25,-0.25,,1002.74,0,21654,,0,0,,0,0,boundary
11,5.75,-0.25,,1002.55,0,20165.5,,0,0,,0,0,boundary
12,6.25,-0.25,,1003.59,0,28479.2,,0,0,,0,0,boundary
13,6.75,-0.25,,1003.49,0,27673.8,,0,0,,0,0,boundary
14,7.25,-0.25,,1003.34,0,26495.7,,0,0,,0,0,boundary
15,7.75,-0.25,,1003.27,0,25951.3,,0,0,,0,0,boundary
16,8.25,-0.25,,1003.52,0,27903.6,,0,0,,0,0,boundary
17,8.75,-0.25,,1003.88,0,30832.9,,0,0,,0,0,boundary
18,9.25,-0.25,,1004.21,0,33454.6,,0,0,,0,0,boundary
19,9.75,-0.25,,1004.44,0,35319.4,,0,0,,0,0,boundary
20,10.25,-0.25,,1004.64,0,36904.8,,0,0,,0,0,boundary
21,10.75,-0.25,,1004.84,0,38559.1,,0,0,,0,0,boundary
22,11.25,-0.25,,1005.1,0,40622,,0,0,,0,0,boundary
23,11.75,-0.25,,1005.28,0,42065.1,,0,0,,0,0,boundary
24,12.25,-0.25,,1005.35,0,42645.5,,0,0,,0,0,boundary
