dx/h :,0.5
dy/h :,0.5
L2normdrhodt
0

t,0
x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt
-1.5,-1.5,,1010.33,0,240345,,0,0,,0,0
-1.5,-1,,1010.12,0,235440,,0,0,,0,0
-1.5,-0.5,,1009.92,0,230535,,0,0,,0,0
-1.5,0,,1009.71,0,225630,,0,0,,0,0
-1.5,0.5,,1009.51,0,220725,,0,0,,0,0
-1.5,1,,1009.3,0,215820,,0,0,,0,0
-1.5,1.5,,1009.1,0,210915,,0,0,,0,0
-1.5,2,,1008.89,0,206010,,0,0,,0,0
-1.5,2.5,,1008.68,0,201105,,0,0,,0,0
-1.5,3,,1008.48,0,196200,,0,0,,0,0
-1.5,3.5,,1008.27,0,191295,,0,0,,0,0
-1.5,4,,1008.06,0,186390,,0,0,,0,0
-1.5,4.5,,1007.86,0,181485,,0,0,,0,0
-1.5,5,,1007.65,0,176580,,0,0,,0,0
-1.5,5.5,,1007.44,0,171675,,0,0,,0,0
-1.5,6,,1007.23,0,166770,,0,0,,0,0
-1.5,6.5,,1007.02,0,161865,,0,0,,0,0
-1.5,7,,1006.82,0,156960,,0,0,,0,0
-1.5,7.5,,1006.61,0,152055,,0,0,,0,0
-1.5,8,,1006.4,0,147150,,0,0,,0,0
-1.5,8.5,,1006.19,0,142245,,0,0,,0,0
-1.5,9,,1005.98,0,137340,,0,0,,0,0
-1.5,9.5,,1005.77,0,132435,,0,0,,0,0
-1.5,10,,1005.56,0,127530,,0,0,,0,0
-1.5,10.5,,1005.35,0,122625,,0,0,,0,0
-1.5,11,,1005.14,0,117720,,0,0,,0,0
-1.5,11.5,,1004.93,0,112815,,0,0,,0,0
-1.5,12,,1004.72,0,107910,,0,0,,0,0
-1.5,12.5,,1004.5,0,103005,,0,0,,0,0
-1.5,13,,1004.29,0,98100,,0,0,,0,0
-1.5,13.5,,1004.08,0,93195,,0,0,,0,0
-1.5,14,,1003.87,0,88290,,0,0,,0,0
-1.5,14.5,,1003.66,0,83385,,0,0,,0,0
-1.5,15,,1003.44,0,78480,,0,0,,0,0
-1.5,15.5,,1003.23,0,73575,,0,0,,0,0
-1.5,16,,1003.02,0,68670,,0,0,,0,0
-1.5,16.5,,1002.8,0,63765,,0,0,,0,0
-1.5,17,,1002.59,0,58860,,0,0,,0,0
-1.5,17.5,,1002.37,0,53955,,0,0,,0,0
-1.5,18,,1002.16,0,49050,,0,0,,0,0
-1.5,18.5,,1001.95,0,44145,,0,0,,0,0
-1.5,19,,1001.73,0,39240,,0,0,,0,0
-1.5,19.5,,1001.51,0,34335,,0,0,,0,0
-1.5,20,,1001.3,0,29430,,0,0,,0,0
-1.5,20.5,,1001.08,0,24525,,0,0,,0,0
-1.5,21,,1000.87,0,19620,,0,0,,0,0
-1.5,21.5,,1000.65,0,14715,,0,0,,0,0
-1.5,22,,1000.43,0,9810,,0,0,,0,0
-1.5,22.5,,1000.22,0,4905,,0,0,,0,0
-1.5,23,,1000,0,0,,0,0,,0,0
-1,-1.5,,1010.33,0,240345,,0,0,,0,0
-1,-1,,1010.12,0,235440,,0,0,,0,0
-1,-0.5,,1009.92,0,230535,,0,0,,0,0
-1,0,,1009.71,0,225630,,0,0,,0,0
-1,0.5,,1009.51,0,220725,,0,0,,0,0
-1,1,,1009.3,0,215820,,0,0,,0,0
-1,1.5,,1009.1,0,210915,,0,0,,0,0
-1,2,,1008.89,0,206010,,0,0,,0,0
-1,2.5,,1008.68,0,201105,,0,0,,0,0
-1,3,,1008.48,0,196200,,0,0,,0,0
-1,3.5,,1008.27,0,191295,,0,0,,0,0
-1,4,,1008.06,0,186390,,0,0,,0,0
-1,4.5,,1007.86,0,181485,,0,0,,0,0
-1,5,,1007.65,0,176580,,0,0,,0,0
-1,5.5,,1007.44,0,171675,,0,0,,0,0
-1,6,,1007.23,0,166770,,0,0,,0,0
-1,6.5,,1007.02,0,161865,,0,0,,0,0
-1,7,,1006.82,0,156960,,0,0,,0,0
-1,7.5,,1006.61,0,152055,,0,0,,0,0
-1,8,,1006.4,0,147150,,0,0,,0,0
-1,8.5,,1006.19,0,142245,,0,0,,0,0
-1,9,,1005.98,0,137340,,0,0,,0,0
-1,9.5,,1005.77,0,132435,,0,0,,0,0
-1,10,,1005.56,0,127530,,0,0,,0,0
-1,10.5,,1005.35,0,122625,,0,0,,0,0
-1,11,,1005.14,0,117720,,0,0,,0,0
-1,11.5,,1004.93,0,112815,,0,0,,0,0
-1,12,,1004.72,0,107910,,0,0,,0,0
-1,12.5,,1004.5,0,103005,,0,0,,0,0
-1,13,,1004.29,0,98100,,0,0,,0,0
-1,13.5,,1004.08,0,93195,,0,0,,0,0
-1,14,,1003.87,0,88290,,0,0,,0,0
-1,14.5,,1003.66,0,83385,,0,0,,0,0
-1,15,,1003.44,0,78480,,0,0,,0,0
-1,15.5,,1003.23,0,73575,,0,0,,0,0
-1,16,,1003.02,0,68670,,0,0,,0,0
-1,16.5,,1002.8,0,63765,,0,0,,0,0
-1,17,,1002.59,0,58860,,0,0,,0,0
-1,17.5,,1002.37,0,53955,,0,0,,0,0
-1,18,,1002.16,0,49050,,0,0,,0,0
-1,18.5,,1001.95,0,44145,,0,0,,0,0
-1,19,,1001.73,0,39240,,0,0,,0,0
-1,19.5,,1001.51,0,34335,,0,0,,0,0
-1,20,,1001.3,0,29430,,0,0,,0,0
-1,20.5,,1001.08,0,24525,,0,0,,0,0
-1,21,,1000.87,0,19620,,0,0,,0,0
-1,21.5,,1000.65,0,14715,,0,0,,0,0
-1,22,,1000.43,0,9810,,0,0,,0,0
-1,22.5,,1000.22,0,4905,,0,0,,0,0
-1,23,,1000,0,0,,0,0,,0,0
-0.5,-1.5,,1010.33,0,240345,,0,0,,0,0
-0.5,-1,,1010.12,0,235440,,0,0,,0,0
-0.5,-0.5,,1009.92,0,230535,,0,0,,0,0
-0.5,0,,1009.71,0,225630,,0,0,,0,0
-0.5,0.5,,1009.51,0,220725,,0,0,,0,0
-0.5,1,,1009.3,0,215820,,0,0,,0,0
-0.5,1.5,,1009.1,0,210915,,0,0,,0,0
-0.5,2,,1008.89,0,206010,,0,0,,0,0
-0.5,2.5,,1008.68,0,201105,,0,0,,0,0
-0.5,3,,1008.48,0,196200,,0,0,,0,0
-0.5,3.5,,1008.27,0,191295,,0,0,,0,0
-0.5,4,,1008.06,0,186390,,0,0,,0,0
-0.5,4.5,,1007.86,0,181485,,0,0,,0,0
-0.5,5,,1007.65,0,176580,,0,0,,0,0
-0.5,5.5,,1007.44,0,171675,,0,0,,0,0
-0.5,6,,1007.23,0,166770,,0,0,,0,0
-0.5,6.5,,1007.02,0,161865,,0,0,,0,0
-0.5,7,,1006.82,0,156960,,0,0,,0,0
-0.5,7.5,,1006.61,0,152055,,0,0,,0,0
-0.5,8,,1006.4,0,147150,,0,0,,0,0
-0.5,8.5,,1006.19,0,142245,,0,0,,0,0
-0.5,9,,1005.98,0,137340,,0,0,,0,0
-0.5,9.5,,1005.77,0,132435,,0,0,,0,0
-0.5,10,,1005.56,0,127530,,0,0,,0,0
-0.5,10.5,,1005.35,0,122625,,0,0,,0,0
-0.5,11,,1005.14,0,117720,,0,0,,0,0
-0.5,11.5,,1004.93,0,112815,,0,0,,0,0
-0.5,12,,1004.72,0,107910,,0,0,,0,0
-0.5,12.5,,1004.5,0,103005,,0,0,,0,0
-0.5,13,,1004.29,0,98100,,0,0,,0,0
-0.5,13.5,,1004.08,0,93195,,0,0,,0,0
-0.5,14,,1003.87,0,88290,,0,0,,0,0
-0.5,14.5,,1003.66,0,83385,,0,0,,0,0
-0.5,15,,1003.44,0,78480,,0,0,,0,0
-0.5,15.5,,1003.23,0,73575,,0,0,,0,0
-0.5,16,,1003.02,0,68670,,0,0,,0,0
-0.5,16.5,,1002.8,0,63765,,0,0,,0,0
-0.5,17,,1002.59,0,58860,,0,0,,0,0
-0.5,17.5,,1002.37,0,53955,,0,0,,0,0
-0.5,18,,1002.16,0,49050,,0,0,,0,0
-0.5,18.5,,1001.95,0,44145,,0,0,,0,0
-0.5,19,,1001.73,0,39240,,0,0,,0,0
-0.5,19.5,,1001.51,0,34335,,0,0,,0,0
-0.5,20,,1001.3,0,29430,,0,0,,0,0
-0.5,20.5,,1001.08,0,24525,,0,0,,0,0
-0.5,21,,1000.87,0,19620,,0,0,,0,0
-0.5,21.5,,1000.65,0,14715,,0,0,,0,0
-0.5,22,,1000.43,0,9810,,0,0,,0,0
-0.5,22.5,,1000.22,0,4905,,0,0,,0,0
-0.5,23,,1000,0,0,,0,0,,0,0
0,-1.5,,1010.33,0,240345,,0,0,,0,0
0,-1,,1010.12,0,235440,,0,0,,0,0
0,-0.5,,1009.92,0,230535,,0,0,,0,0
0,0,,1009.71,0,225630,,0,0,,-9.21485e-14,9.43478
0,0.5,,1009.51,0,220725,,0,0,,4.32987e-14,9.44228
0,1,,1009.3,0,215820,,0,0,,4.74065e-14,9.44979
0,1.5,,1009.1,0,210915,,0,0,,1.30451e-14,9.45733
0,2,,1008.89,0,206010,,0,0,,-3.10307e-14,9.46488
0,2.5,,1008.68,0,201105,,0,0,,1.80966e-14,9.47246
0,3,,1008.48,0,196200,,0,0,,1.10467e-14,9.48006
0,3.5,,1008.27,0,191295,,0,0,,1.86517e-14,9.48768
0,4,,1008.06,0,186390,,0,0,,-2.85327e-14,9.49532
0,4.5,,1007.86,0,181485,,0,0,,-1.43774e-14,9.50298
0,5,,1007.65,0,176580,,0,0,,1.71529e-14,9.51066
0,5.5,,1007.44,0,171675,,0,0,,-3.88578e-16,9.51837
0,6,,1007.23,0,166770,,0,0,,-2.49245e-14,9.52609
0,6.5,,1007.02,0,161865,,0,0,,-3.32512e-14,9.53384
0,7,,1006.82,0,156960,,0,0,,1.83742e-14,9.54161
0,7.5,,1006.61,0,152055,,0,0,,-6.88338e-15,9.5494
0,8,,1006.4,0,147150,,0,0,,2.58127e-14,9.55721
0,8.5,,1006.19,0,142245,,0,0,,1.18239e-14,9.56504
0,9,,1005.98,0,137340,,0,0,,-1.65978e-14,9.5729
0,9.5,,1005.77,0,132435,,0,0,,6.25056e-14,9.58077
0,10,,1005.56,0,127530,,0,0,,-6.80012e-15,9.58867
0,10.5,,1005.35,0,122625,,0,0,,3.61933e-14,9.59659
0,11,,1005.14,0,117720,,0,0,,5.21805e-15,9.60454
0,11.5,,1004.93,0,112815,,0,0,,4.20497e-14,9.6125
0,12,,1004.72,0,107910,,0,0,,-2.34257e-14,9.62049
0,12.5,,1004.5,0,103005,,0,0,,5.52336e-15,9.6285
0,13,,1004.29,0,98100,,0,0,,-2.15383e-14,9.63654
0,13.5,,1004.08,0,93195,,0,0,,-1.34615e-14,9.6446
0,14,,1003.87,0,88290,,0,0,,8.85403e-15,9.65268
0,14.5,,1003.66,0,83385,,0,0,,1.41831e-14,9.66078
0,15,,1003.44,0,78480,,0,0,,1.85962e-15,9.6689
0,15.5,,1003.23,0,73575,,0,0,,7.18869e-15,9.67705
0,16,,1003.02,0,68670,,0,0,,3.2474e-15,9.68523
0,16.5,,1002.8,0,63765,,0,0,,1.57929e-14,9.69342
0,17,,1002.59,0,58860,,0,0,,-1.4988e-15,9.70164
0,17.5,,1002.37,0,53955,,0,0,,1.27537e-14,9.70989
0,18,,1002.16,0,49050,,0,0,,2.66454e-14,9.71815
0,18.5,,1001.95,0,44145,,0,0,,-6.67522e-15,9.72645
0,19,,1001.73,0,39240,,0,0,,-8.32667e-17,9.73476
0,19.5,,1001.51,0,34335,,0,0,,2.56739e-16,9.7431
0,20,,1001.3,0,29430,,0,0,,-3.95517e-16,9.75146
0,20.5,,1001.08,0,24525,,0,0,,6.50174e-15,9.75985
0,21,,1000.87,0,19620,,0,0,,-3.1225e-16,9.76826
0,21.5,,1000.65,0,14715,,0,0,,-5.45397e-15,9.7767
0,22,,1000.43,0,9810,,0,0,,6.62664e-16,9.96875
0,22.5,,1000.22,0,4905,,0,0,,3.19189e-16,9.60822
0,23,,1000,0,0,,0,0,,6.93889e-17,4.89743
0.5,-1.5,,1010.33,0,240345,,0,0,,0,0
0.5,-1,,1010.12,0,235440,,0,0,,0,0
0.5,-0.5,,1009.92,0,230535,,0,0,,0,0
0.5,0,,1009.71,0,225630,,0,0,,-9.21485e-14,9.43478
0.5,0.5,,1009.51,0,220725,,0,0,,4.32987e-14,9.44228
0.5,1,,1009.3,0,215820,,0,0,,4.74065e-14,9.44979
0.5,1.5,,1009.1,0,210915,,0,0,,1.30451e-14,9.45733
0.5,2,,1008.89,0,206010,,0,0,,-3.10307e-14,9.46488
0.5,2.5,,1008.68,0,201105,,0,0,,1.80966e-14,9.47246
0.5,3,,1008.48,0,196200,,0,0,,1.10467e-14,9.48006
0.5,3.5,,1008.27,0,191295,,0,0,,1.86517e-14,9.48768
0.5,4,,1008.06,0,186390,,0,0,,-2.85327e-14,9.49532
0.5,4.5,,1007.86,0,181485,,0,0,,-1.43774e-14,9.50298
0.5,5,,1007.65,0,176580,,0,0,,1.71529e-14,9.51066
0.5,5.5,,1007.44,0,171675,,0,0,,-3.88578e-16,9.51837
0.5,6,,1007.23,0,166770,,0,0,,-2.49245e-14,9.52609
0.5,6.5,,1007.02,0,161865,,0,0,,-3.32512e-14,9.53384
0.5,7,,1006.82,0,156960,,0,0,,1.83742e-14,9.54161
0.5,7.5,,1006.61,0,152055,,0,0,,-6.88338e-15,9.5494
0.5,8,,1006.4,0,147150,,0,0,,2.58127e-14,9.55721
0.5,8.5,,1006.19,0,142245,,0,0,,1.18239e-14,9.56504
0.5,9,,1005.98,0,137340,,0,0,,-1.65978e-14,9.5729
0.5,9.5,,1005.77,0,132435,,0,0,,6.25056e-14,9.58077
0.5,10,,1005.56,0,127530,,0,0,,-6.80012e-15,9.58867
0.5,10.5,,1005.35,0,122625,,0,0,,3.61933e-14,9.59659
0.5,11,,1005.14,0,117720,,0,0,,5.21805e-15,9.60454
0.5,11.5,,1004.93,0,112815,,0,0,,4.20497e-14,9.6125
0.5,12,,1004.72,0,107910,,0,0,,-2.34257e-14,9.62049
0.5,12.5,,1004.5,0,103005,,0,0,,5.52336e-15,9.6285
0.5,13,,1004.29,0,98100,,0,0,,-2.15383e-14,9.63654
0.5,13.5,,1004.08,0,93195,,0,0,,-1.34615e-14,9.6446
0.5,14,,1003.87,0,88290,,0,0,,8.85403e-15,9.65268
0.5,14.5,,1003.66,0,83385,,0,0,,1.41831e-14,9.66078
0.5,15,,1003.44,0,78480,,0,0,,1.85962e-15,9.6689
0.5,15.5,,1003.23,0,73575,,0,0,,7.18869e-15,9.67705
0.5,16,,1003.02,0,68670,,0,0,,3.2474e-15,9.68523
0.5,16.5,,1002.8,0,63765,,0,0,,1.57929e-14,9.69342
0.5,17,,1002.59,0,58860,,0,0,,-1.4988e-15,9.70164
0.5,17.5,,1002.37,0,53955,,0,0,,1.27537e-14,9.70989
0.5,18,,1002.16,0,49050,,0,0,,2.66454e-14,9.71815
