dx/h :,0.555556
dy/h :,0.555556
L2normPartition,L2normdrhodt
0.0849207,0

x,y,,Partition,dPartdX,dPartdY,drhodt
0,0,,0.500417,2.60025,2.60025,0
0,0.1,,0.67176,3.497,0.857837,0
0,0.2,,0.707222,3.69353,0.0511578,0
0,0.3,,0.707966,3.6983,9.8619e-16,0
0,0.4,,0.707966,3.6983,-5.82867e-16,0
0,0.5,,0.707966,3.6983,-1.53263e-15,0
0,0.6,,0.707966,3.6983,1.81712e-15,0
0,0.7,,0.707966,3.6983,1.83881e-15,0
0,0.8,,0.707966,3.6983,-4.85723e-17,0
0,0.9,,0.707966,3.6983,-1.80411e-15,0
0,1,,0.707966,3.6983,-2.71224e-15,0
0,1.1,,0.707966,3.6983,1.36696e-15,0
0,1.2,,0.707966,3.6983,3.39399e-15,0
0,1.3,,0.707966,3.6983,-1.32706e-16,0
0,1.4,,0.707966,3.6983,-7.54605e-17,0
0,1.5,,0.707966,3.6983,-3.15113e-15,0
0,1.6,,0.707966,3.6983,-1.59595e-16,0
0,1.7,,0.707966,3.6983,2.9499e-15,0
0,1.8,,0.707966,3.6983,-1.32706e-16,0
0,1.9,,0.707966,3.6983,-7.54605e-17,0
0,2,,0.707966,3.6983,-3.81726e-15,0
0,2.1,,0.707966,3.6983,-3.17801e-15,0
0,2.2,,0.707966,3.6983,4.02456e-16,0
0,2.3,,0.707966,3.6983,6.245e-15,0
0,2.4,,0.707966,3.6983,6.49741e-15,0
0,2.5,,0.707966,3.6983,-6.8166e-15,0
0,2.6,,0.707966,3.6983,-6.56419e-15,0
0,2.7,,0.707966,3.6983,6.93889e-17,0
0,2.8,,0.707966,3.6983,6.245e-15,0
0,2.9,,0.707966,3.6983,6.49741e-15,0
0,3,,0.707966,3.6983,-6.8166e-15,0
0,3.1,,0.707966,3.6983,-6.56419e-15,0
0,3.2,,0.707966,3.6983,6.93889e-17,0
0,3.3,,0.707966,3.6983,6.245e-15,0
0,3.4,,0.707966,3.6983,6.49741e-15,0
0,3.5,,0.707966,3.6983,-6.8166e-15,0
0,3.6,,0.707966,3.6983,-6.56419e-15,0
0,3.7,,0.707966,3.6983,6.93889e-17,0
0,3.8,,0.707966,3.6983,5.19029e-15,0
0,3.9,,0.707966,3.6983,1.32099e-15,0
0,4,,0.707966,3.6983,-6.09842e-15,0
0,4.1,,0.707966,3.6983,1.23851e-14,0
0,4.2,,0.707966,3.6983,6.93889e-17,0
0,4.3,,0.707966,3.6983,-1.35369e-14,0
0,4.4,,0.707966,3.6983,1.01915e-15,0
0,4.5,,0.707966,3.6983,-3.15633e-15,0
0,4.6,,0.707966,3.6983,3.01755e-15,0
0,4.7,,0.707222,3.69353,-0.0511578,0
0,4.8,,0.67176,3.497,-0.857837,0
0,4.9,,0.500417,2.60025,-2.60025,0
0.1,0,,0.67176,0.857837,3.497,0
0.1,0.1,,0.903182,1.16073,1.16073,0
0.1,0.2,,0.950988,1.21297,0.0654658,0
0.1,0.3,,0.951902,1.21297,8.75168e-16,0
0.1,0.4,,0.951902,1.21297,-1.02696e-15,0
0.1,0.5,,0.951902,1.21297,-2.17101e-15,0
0.1,0.6,,0.951902,1.21297,2.67755e-15,0
0.1,0.7,,0.951902,1.21297,2.72699e-15,0
0.1,0.8,,0.951902,1.21297,-4.85723e-17,0
0.1,0.9,,0.951902,1.21297,-2.69229e-15,0
0.1,1,,0.951902,1.21297,-4.1139e-15,0
0.1,1.1,,0.951902,1.21297,2.00534e-15,0
0.1,1.2,,0.951902,1.21297,4.6985e-15,0
0.1,1.3,,0.951902,1.21297,-2.15973e-16,0
0.1,1.4,,0.951902,1.21297,7.80626e-18,0
0.1,1.5,,0.951902,1.21297,-4.44176e-15,0
0.1,1.6,,0.951902,1.21297,-1.59595e-16,0
0.1,1.7,,0.951902,1.21297,4.47645e-15,0
0.1,1.8,,0.951902,1.21297,-2.15973e-16,0
0.1,1.9,,0.951902,1.21297,7.80626e-18,0
0.1,2,,0.951902,1.21297,-5.32994e-15,0
0.1,2.1,,0.951902,1.21297,-4.38538e-15,0
0.1,2.2,,0.951902,1.21297,8.60423e-16,0
0.1,2.3,,0.951902,1.21297,8.79852e-15,0
0.1,2.4,,0.951902,1.21297,8.77336e-15,0
0.1,2.5,,0.951902,1.21297,-9.07868e-15,0
0.1,2.6,,0.951902,1.21297,-8.88178e-15,0
0.1,2.7,,0.951902,1.21297,8.32667e-17,0
0.1,2.8,,0.951902,1.21297,8.79852e-15,0
0.1,2.9,,0.951902,1.21297,8.77336e-15,0
0.1,3,,0.951902,1.21297,-9.07868e-15,0
0.1,3.1,,0.951902,1.21297,-8.88178e-15,0
0.1,3.2,,0.951902,1.21297,8.32667e-17,0
0.1,3.3,,0.951902,1.21297,8.79852e-15,0
0.1,3.4,,0.951902,1.21297,8.77336e-15,0
0.1,3.5,,0.951902,1.21297,-9.07868e-15,0
0.1,3.6,,0.951902,1.21297,-8.88178e-15,0
0.1,3.7,,0.951902,1.21297,8.32667e-17,0
0.1,3.8,,0.951902,1.21297,7.49401e-15,0
0.1,3.9,,0.951902,1.21297,1.72345e-15,0
0.1,4,,0.951902,1.21297,-7.91641e-15,0
0.1,4.1,,0.951902,1.21297,1.60765e-14,0
0.1,4.2,,0.951902,1.21297,8.32667e-17,0
0.1,4.3,,0.951902,1.21297,-1.76586e-14,0
0.1,4.4,,0.951902,1.21297,5.33427e-16,0
0.1,4.5,,0.951902,1.21297,-3.78083e-15,0
0.1,4.6,,0.951902,1.21297,3.64205e-15,0
0.1,4.7,,0.950988,1.21297,-0.0654658,0
0.1,4.8,,0.903182,1.16073,-1.16073,0
0.1,4.9,,0.67176,0.857837,-3.497,0
0.2,0,,0.707222,0.0511578,3.69353,0
0.2,0.1,,0.950988,0.0654658,1.21297,0
0.2,0.2,,1.0003,0.0654658,0.0654658,0
0.2,0.3,,1.00121,0.0654658,1.75207e-15,0
0.2,0.4,,1.00121,0.0654658,-9.15934e-16,0
0.2,0.5,,1.00121,0.0654658,-2.29764e-15,0
0.2,0.6,,1.00121,0.0654658,2.6654e-15,0
0.2,0.7,,1.00121,0.0654658,2.67147e-15,0
0.2,0.8,,1.00121,0.0654658,-4.85723e-17,0
0.2,0.9,,1.00121,0.0654658,-2.88658e-15,0
0.2,1,,1.00121,0.0654658,-4.25441e-15,0
0.2,1.1,,1.00121,0.0654658,2.0331e-15,0
0.2,1.2,,1.00121,0.0654658,5.07493e-15,0
0.2,1.3,,1.00121,0.0654658,-1.48319e-16,0
0.2,1.4,,1.00121,0.0654658,-5.9848e-17,0
0.2,1.5,,1.00121,0.0654658,-4.61003e-15,0
0.2,1.6,,1.00121,0.0654658,-1.59595e-16,0
0.2,1.7,,1.00121,0.0654658,4.51982e-15,0
0.2,1.8,,1.00121,0.0654658,-1.48319e-16,0
0.2,1.9,,1.00121,0.0654658,-5.9848e-17,0
0.2,2,,1.00121,0.0654658,-5.49821e-15,0
0.2,2.1,,1.00121,0.0654658,-4.84335e-15,0
0.2,2.2,,1.00121,0.0654658,8.46545e-16,0
0.2,2.3,,1.00121,0.0654658,9.24261e-15,0
0.2,2.4,,1.00121,0.0654658,9.26082e-15,0
0.2,2.5,,1.00121,0.0654658,-9.35797e-15,0
0.2,2.6,,1.00121,0.0654658,-9.11771e-15,0
0.2,2.7,,1.00121,0.0654658,-4.16334e-17,0
0.2,2.8,,1.00121,0.0654658,9.24261e-15,0
0.2,2.9,,1.00121,0.0654658,9.26082e-15,0
0.2,3,,1.00121,0.0654658,-9.35797e-15,0
0.2,3.1,,1.00121,0.0654658,-9.11771e-15,0
0.2,3.2,,1.00121,0.0654658,-4.16334e-17,0
0.2,3.3,,1.00121,0.0654658,9.24261e-15,0
0.2,3.4,,1.00121,0.0654658,9.26082e-15,0
0.2,3.5,,1.00121,0.0654658,-9.35797e-15,0
0.2,3.6,,1.00121,0.0654658,-9.11771e-15,0
0.2,3.7,,1.00121,0.0654658,-4.16334e-17,0
0.2,3.8,,1.00121,0.0654658,7.74381e-15,0
0.2,3.9,,1.00121,0.0654658,1.75294e-15,0
0.2,4,,1.00121,0.0654658,-8.30586e-15,0
0.2,4.1,,1.00121,0.0654658,1.7257e-14,0
0.2,4.2,,1.00121,0.0654658,-4.16334e-17,0
0.2,4.3,,1.00121,0.0654658,-1.8742e-14,0
0.2,4.4,,1.00121,0.0654658,4.51028e-16,0
0.2,4.5,,1.00121,0.0654658,-3.47639e-15,0
0.2,4.6,,1.00121,0.0654658,3.67067e-15,0
0.2,4.7,,1.0003,0.0654658,-0.0654658,0
0.2,4.8,,0.950988,0.0654658,-1.21297,0
0.2,4.9,,0.707222,0.0511578,-3.69353,0
0.3,0,,0.707966,7.89299e-16,3.6983,0
0.3,0.1,,0.951902,1.85615e-16,1.21297,0
0.3,0.2,,1.00121,1.73993e-15,0.0654658,0
0.3,0.3,,1.00212,2.13718e-15,1.72171e-15,0
0.3,0.4,,1.00212,6.73073e-16,-9.15934e-16,0
0.3,0.5,,1.00212,1.19176e-15,-1.75467e-15,0
0.3,0.6,,1.00212,1.69309e-15,1.96978e-15,0
0.3,0.7,,1.00212,1.06165e-15,2.4078e-15,0
0.3,0.8,,1.00212,1.2837e-15,-6.245e-17,0
0.3,0.9,,1.00212,6.73073e-16,-2.72005e-15,0
0.3,1,,1.00212,1.4138e-15,-3.73226e-15,0
0.3,1.1,,1.00212,3.09995e-15,1.96371e-15,0
0.3,1.2,,1.00212,3.08087e-15,4.46258e-15,0
0.3,1.3,,1.00212,1.69136e-15,2.14238e-16,0
0.3,1.4,,1.00212,1.7486e-15,-2.28116e-16,0
0.3,1.5,,1.00212,1.74687e-15,-4.22665e-15,0
0.3,1.6,,1.00212,2.43382e-15,4.85723e-17,0
0.3,1.7,,1.00212,3.08087e-15,4.01849e-15,0
0.3,1.8,,1.00212,1.69136e-15,2.14238e-16,0
0.3,1.9,,1.00212,1.7486e-15,-2.28116e-16,0
0.3,2,,1.00212,2.19096e-15,-4.86503e-15,0
0.3,2.1,,1.00212,2.48933e-15,-4.36456e-15,0
0.3,2.2,,1.00212,3.37751e-15,8.53484e-16,0
0.3,2.3,,1.00212,3.05832e-15,9.07607e-15,0
0.3,2.4,,1.00212,3.21271e-15,8.91214e-15,0
0.3,2.5,,1.00212,3.08607e-15,-9.08561e-15,0
0.3,2.6,,1.00212,2.93342e-15,-9.0275e-15,0
0.3,2.7,,1.00212,3.37751e-15,7.63278e-17,0
0.3,2.8,,1.00212,3.05832e-15,9.07607e-15,0
0.3,2.9,,1.00212,3.21271e-15,8.91214e-15,0
0.3,3,,1.00212,3.08607e-15,-9.08561e-15,0
0.3,3.1,,1.00212,2.93342e-15,-9.0275e-15,0
0.3,3.2,,1.00212,3.37751e-15,7.63278e-17,0
0.3,3.3,,1.00212,3.05832e-15,9.07607e-15,0
0.3,3.4,,1.00212,3.21271e-15,8.91214e-15,0
0.3,3.5,,1.00212,3.08607e-15,-9.08561e-15,0
0.3,3.6,,1.00212,2.93342e-15,-9.0275e-15,0
0.3,3.7,,1.00212,3.37751e-15,7.63278e-17,0
0.3,3.8,,1.00212,3.28036e-15,7.41074e-15,0
0.3,3.9,,1.00212,2.64372e-15,1.68875e-15,0
0.3,4,,1.00212,2.81719e-15,-8.33968e-15,0
0.3,4.1,,1.00212,2.59515e-15,1.77627e-14,0
0.3,4.2,,1.00212,2.79637e-15,1.04083e-16,0
0.3,4.3,,1.00212,2.15106e-15,-1.90811e-14,0
0.3,4.4,,1.00212,2.48412e-15,8.318e-16,0
0.3,4.5,,1.00212,2.59515e-15,-4.2041e-15,0
0.3,4.6,,1.00212,2.04003e-15,4.05145e-15,0
0.3,4.7,,1.00121,2.59515e-15,-0.0654658,0
0.3,4.8,,0.951902,2.15106e-15,-1.21297,0
0.3,4.9,,0.707966,2.18575e-15,-3.6983,0
0.4,0,,0.707966,-1.10502e-15,3.6983,0
0.4,0.1,,0.951902,-1.3687e-15,1.21297,0
0.4,0.2,,1.00121,-1.14665e-15,0.0654658,0
0.4,0.3,,1.00212,-2.77556e-16,1.49967e-15,0
0.4,0.4,,1.00212,-1.63064e-15,-1.21431e-15,0
0.4,0.5,,1.00212,-2.00014e-15,-1.10936e-15,0
0.4,0.6,,1.00212,-6.10623e-16,1.55344e-15,0
0.4,0.7,,1.00212,-7.97973e-16,2.18575e-15,0
0.4,0.8,,1.00212,-1.02002e-15,-6.245e-17,0
0.4,0.9,,1.00212,-1.63064e-15,-2.71311e-15,0
0.4,1,,1.00212,-1.41727e-15,-2.72612e-15,0
0.4,1.1,,1.00212,-5.3603e-16,1.71391e-15,0
